鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市福竹街121~150號,28.4,住,,,1070112,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,203.23000000000002,4,2,2,有,有,9080000,44678,坡道平面,35.0,0,,RPRNMLNKKHNFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路121~150號,26.42,商,,,1070113,土地1建物1車位2,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920827,207.54,4,2,2,有,有,10180000,49051,坡道平面,0.0,0,,RPSNMLNKKHNFFBJ38CA
竹北市,房地(土地+建物),新竹縣竹北市隘口一街1~30號,8.18,住,,,1061209,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970310,38.7,2,1,1,有,有,3550000,91731,,0.0,0,,RPTNMLNKKHNFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市國盛街301~330號,18.54,商,,,1070113,土地1建物1車位2,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011108,166.39999999999998,3,2,2,有,有,7100000,42668,坡道機械,39.66,0,,RPUNMLNKKHNFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路一段1~30號,54.14,住,,,1070120,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,323.5,6,2,3,有,有,19000000,58733,坡道平面,0.0,0,含增建物。,RPXNMLNKKHNFFBJ88CA
竹北市,土地,東興段631~660地號,273.66,其他,,,1070118,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000003,7308,,0.0,0,,RPOPMLNKKHNFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段181~210號,32.6,住,,,1070119,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,213.21,4,2,2,有,有,11900000,55816,坡道平面,0.0,0,,RPVPMLNKKHNFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興二路211~240號,14.29,商,,,1070130,土地1建物1車位1,七層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0961204,138.96,1,1,1,有,有,9150000,65846,坡道平面,0.0,0,,RPPNMLOKKHNFFBJ18CA
竹北市,土地,東興段391~420地號,225.2,其他,,,1070120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4024548,17871,,0.0,0,,RPUNMLOKKHNFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路一段91~120號,36.6,住,,,1061208,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060109,198.86,3,2,2,有,有,12350000,66493,坡道平面,30.42,1150000,,RPXNMLOKKHNFFBJ98CA
