編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPROMLKMPHNFFAG48CB,坡道平面,1000000,26.24
RPROMLKMPHNFFAG48CB,坡道平面,1000000,26.24
RPVNMLLMPHNFFAG88CB,坡道平面,0,26.24
RPVNMLLMPHNFFAG88CB,坡道平面,0,26.24
RPOOMLLMPHNFFAG28CB,坡道平面,0,26.24
RPXNMLLMPHNFFAG09CB,坡道平面,0,26.24
RPPOMLLMPHNFFAG38CB,坡道平面,0,26.24
RPWNMLLMPHNFFAG98CB,坡道平面,0,26.24
RPWNMLLMPHNFFAG98CB,坡道平面,0,26.24
RPROMLLMPHNFFAG58CB,坡道平面,0,26.24
RPQOMLLMPHNFFAG48CB,坡道平面,0,26.24
RPTOMLLMPHNFFAG78CB,坡道平面,0,26.24
RPSOMLLMPHNFFAG68CB,坡道平面,0,26.24
RPVOMLLMPHNFFAG98CB,坡道平面,0,26.24
RPUOMLLMPHNFFAG88CB,坡道平面,0,26.24
RPWOMLLMPHNFFAG09CB,坡道平面,0,26.24
RPXOMLLMPHNFFAG56CB,坡道平面,0,26.24
RPOPMLLMPHNFFAG38CB,坡道平面,0,26.24
RPPPMLLMPHNFFAG48CB,坡道平面,0,26.24
RPQPMLLMPHNFFAG58CB,坡道平面,0,26.24
RPWPMLLMPHNFFAG56CB,坡道平面,0,26.24
RPSNMLLJQHNFFAG38CB,坡道平面,0,26.24
RPVPMLLMPHNFFAG09CB,坡道平面,0,26.24
RPUPMLLMPHNFFAG98CB,坡道平面,0,26.24
RPRNMLLJQHNFFAG28CB,坡道平面,0,26.24
RPTPMLLMPHNFFAG88CB,坡道平面,0,26.24
RPXPMLLMPHNFFAG66CB,坡道平面,0,26.24
RPRPMLLMPHNFFAG68CB,坡道平面,0,26.24
RPOQMLLMPHNFFAG48CB,坡道平面,0,26.24
RPSPMLLMPHNFFAG78CB,坡道平面,0,26.24
RPVNMLLJQHNFFAG68CB,坡道平面,0,26.24
RPTNMLLJQHNFFAG48CB,坡道平面,0,26.24
RPUNMLLJQHNFFAG58CB,坡道平面,0,26.24
RPWNMLLJQHNFFAG78CB,坡道平面,0,26.24
RPOOMLLJQHNFFAG08CB,坡道平面,0,26.24
RPXNMLLJQHNFFAG88CB,坡道平面,0,26.24
