編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVNMLSKNHNFFAI66CA,升降機械,0,
RPVNMLQKNHNFFAI09CA,一樓平面,0,
RPQNMLLLNHNFFAI18CA,升降機械,0,
RPPOMLKMNHNFFAI18CA,坡道機械,1100000,14.31
RPPOMLKMNHNFFAI18CA,坡道機械,0,14.31
RPPPMLLMNHNFFAI38CA,坡道機械,0,
RPUPMLSLNHNFFAI86CA,升降機械,0,
RPSPMLLMNHNFFAI68CA,坡道機械,0,
RPVNMLNLNHNFFAI88CA,坡道平面,700000,21.09
RPVNMLNKOHNFFAI88CA,一樓平面,0,
RPVNMLNKOHNFFAI88CA,一樓平面,0,
RPTOMLOJOHNFFAI78CA,坡道平面,0,
RPSOMLMJOHNFFAI48CA,坡道平面,0,
RPXNMLLJOHNFFAI78CA,坡道平面,0,
RPQOMLLLOHNFFAI38CA,坡道機械,400000,8.26
RPROMLLLOHNFFAI48CA,坡道機械,450000,8.26
RPROMLLLOHNFFAI48CA,坡道機械,450000,8.26
RPSOMLLLOHNFFAI58CA,坡道機械,550000,8.26
RPPNMLOJOHNFFAI48EA,坡道平面,0,
RPSNMLMLOHNFFAI58CA,坡道機械,450000,8.26
RPTNMLMLOHNFFAI68CA,坡道機械,400000,8.26
RPPNMLMLOHNFFAI28CA,坡道機械,550000,8.26
RPRPMLMLOHNFFAI68CA,坡道機械,400000,8.26
RPPPMLMLOHNFFAI48CA,坡道平面,1200000,16.23
RPVNMLMLOHNFFAI88CA,坡道平面,650000,16.23
RPTPMLMLOHNFFAI88CA,坡道平面,550000,16.23
RPTPMLMLOHNFFAI88CA,坡道機械,350000,8.26
RPSPMLMLOHNFFAI78CA,坡道機械,400000,8.26
RPSPMLMLOHNFFAI78CA,坡道機械,400000,8.26
RPTOMLOKOHNFFAI88CA,坡道平面,0,
RPVPMLMLOHNFFAI09CA,坡道機械,400000,8.26
RPSOMLOJOHNFFAI68CA,坡道平面,0,
RPWPMLMLOHNFFAI56CA,坡道平面,900000,16.23
RPPNMLQKOHNFFAI58CA,坡道機械,0,
RPUNMLLMNHNFFAI88EA,坡道平面,0,
RPXNMLMLOHNFFAI09CA,坡道平面,0,
RPTOMLKMNHNFFAI58CA,坡道機械,500000,14.31
RPROMLKMNHNFFAI38CA,坡道機械,550000,14.31
RPQOMLLKOHNFFAI28CA,坡道平面,0,
RPRNMLSJOHNFFAI09EA,坡道機械,100000,15.15
RPSNMLSJOHNFFAI56EA,坡道機械,0,
RPXPMLMLOHNFFAI66CA,坡道機械,550000,8.26
RPXPMLMLOHNFFAI66CA,坡道機械,550000,8.26
RPQOMLRLOHNFFAI98CA,坡道機械,0,
RPVPMLTKOHNFFAI07CA,坡道平面,0,
RPRNMLNKOHNFFAI48CA,一樓平面,0,11.87
RPUOMLTLOHNFFAI96CA,升降機械,0,
RPTPMLNJPHNFFAI88CA,坡道平面,900000,16.23
RPTPMLNJPHNFFAI88CA,坡道平面,900000,16.23
RPQPMLNJPHNFFAI58CA,坡道平面,1200000,16.23
RPSPMLNJPHNFFAI78CA,坡道機械,450000,8.26
RPRPMLNJPHNFFAI68CA,一樓平面,0,
RPUPMLNJPHNFFAI98CA,一樓平面,0,
