編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLMLNHNFFAO98CA,5,230.44,見其他登記事項,鋼筋混凝土造,102年8月26日,二十層,十二層
RPPPMLMLNHNFFAO98CA,5,65.32,共有部分,鋼筋混凝土造,102年8月26日,二十層,
RPPPMLMLNHNFFAO98CA,5,38.15,共有部分,鋼筋混凝土造,102年8月26日,二十層,
RPPPMLMLNHNFFAO98CA,5,.16,見其他登記事項,鋼筋混凝土造,102年8月26日,二十層,
RPPPMLMLNHNFFAO98CA,5,94.50,共有部分,鋼筋混凝土造,102年8月26日,二十層,
RPQPMLMLNHNFFAO09CA,5,.11,見其他登記事項,鋼筋混凝土造,102年8月26日,二十層,一層
RPQPMLMLNHNFFAO09CA,5,65.94,共有部分,鋼筋混凝土造,102年8月26日,二十層,
RPSNMLQKNHNFFAO76CA,21,13.63,共有部分,鋼筋混凝土造,86年4月9日,十八層,
RPSNMLQKNHNFFAO76CA,21,70.05,見其他登記事項,鋼筋混凝土造,86年4月9日,十八層,七層
RPSNMLQKNHNFFAO76CA,21,16.16,見其他登記事項,鋼筋混凝土造,86年4月9日,十八層,
RPSNMLQKNHNFFAO76CA,21,9.58,共有部分,鋼筋混凝土造,86年4月9日,十八層,
RPSNMLQKNHNFFAO76CA,21,2.01,共有部分,鋼筋混凝土造,86年4月9日,十八層,
RPXPMLSKNHNFFAO67CA,,85.29,住家用,鋼筋混凝土造,,九層,八層
RPXPMLSKNHNFFAO67CA,,59.64,共有部分,鋼筋混凝土造,,九層,
RPPPMLNLNHNFFAO09CA,2,59.87,見其他登記事項,鋼筋混凝土造,104年11月27日,七層,二層
RPPPMLNLNHNFFAO09CA,2,43.02,共有部分,鋼筋混凝土造,104年11月27日,七層,
RPRNMLPKNHNFFAO56CA,1,280.83,見其他登記事項,鋼筋混凝土造,106年4月24日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLPLNHNFFAO56CA,22,46.15,住家用,鋼筋混凝土造,85年8月30日,十二層,七層
RPPOMLPLNHNFFAO56CA,22,20.50,共有部分,鋼筋混凝土造,85年8月30日,十二層,
RPSNMLPKNHNFFAO66CA,1,287.04,見其他登記事項,鋼筋混凝土造,106年4月25日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLPKNHNFFAO76CA,12,.11,見其他登記事項,鋼筋混凝土造,95年2月17日,十二層,
RPSOMLPKNHNFFAO76CA,12,18.62,見其他登記事項,鋼筋混凝土造,95年2月17日,十二層,
RPSOMLPKNHNFFAO76CA,12,123.25,見其他登記事項,鋼筋混凝土造,95年2月17日,十二層,六層
RPSOMLPKNHNFFAO76CA,12,45.32,見其他登記事項,鋼筋混凝土造,95年2月17日,十二層,
RPQNMLPKNHNFFAO09CA,24,70.37,住家用,鋼筋混凝土造,82年12月16日,五層,四層
RPQNMLPKNHNFFAO09CA,24,8.34,共有部分,鋼筋混凝土造,82年12月16日,五層,
RPQNMLPKNHNFFAO09CA,24,42.27,共有部分,鋼筋混凝土造,82年10月19日,五層,
RPVOMLRLNHNFFAO37CA,23,88.90,住家用,鋼筋混凝土造,84年5月22日,七層,六層
RPVOMLRLNHNFFAO37CA,23,.42,住商用,鋼筋混凝土造,84年5月22日,七層,
RPVOMLRLNHNFFAO37CA,23,26.64,共有部分,鋼筋混凝土造,84年5月22日,七層,
RPVOMLRLNHNFFAO37CA,23,10.23,共有部分,鋼筋混凝土造,84年5月22日,七層,
RPVOMLRLNHNFFAO37CA,23,.16,共有部分,鋼筋混凝土造,84年5月22日,七層,
RPVOMLRLNHNFFAO37CA,23,12.55,共有部分,鋼筋混凝土造,84年5月22日,七層,
RPQOMLRLNHNFFAO86CA,25,75.33,住家用,鋼筋混凝土造,82年6月12日,七層,五層
RPQOMLRLNHNFFAO86CA,25,26.69,共有部分,鋼筋混凝土造,82年6月12日,七層,
RPTNMLRLNHNFFAO07CA,11,68.12,辦公室,鋼筋混凝土造,96年6月25日,五層,二層 見其他登記事項
RPTNMLRLNHNFFAO07CA,11,32.65,見其他登記事項,鋼筋混凝土造,96年6月25日,五層,
RPTNMLRLNHNFFAO07CA,11,14.18,見其他登記事項,鋼筋混凝土造,96年6月25日,五層,
RPTNMLRLNHNFFAO07CA,11,5.21,見其他登記事項,鋼筋混凝土造,96年6月25日,五層,
RPSOMLRLNHNFFAO07CA,2,220.26,見其他登記事項,鋼筋混凝土造,105年5月30日,五層,一層 二層 三層 四層 五層
RPTNMLPKNHNFFAO76CA,1,307.34,見其他登記事項,鋼筋混凝土造,106年4月25日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLRLNHNFFAO17CA,3,200.11,見其他登記事項,鋼筋混凝土造,104年7月30日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLSLNHNFFAO86CA,33,112.24,見使用執照,加強磚造,74年4月24日,二層,一層 二層
RPWPMLOJOHNFFAO17CA,1,54.53,見其他登記事項,鋼筋混凝土造,106年5月19日,九層,一層 見其他登記事項
RPWPMLOJOHNFFAO17CA,1,52.00,共有部分,鋼筋混凝土造,106年5月19日,九層,
RPOOMLPLNHNFFAO09CA,21,120.75,住家用,鋼筋混凝土造,85年11月14日,二十一層,十六層
RPOOMLPLNHNFFAO09CA,21,21.80,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPOOMLPLNHNFFAO09CA,21,.87,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPOOMLPLNHNFFAO09CA,21,31.47,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPPQMLLMNHNFFAO09CA,11,78.17,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,九層
RPPQMLLMNHNFFAO09CA,11,15.54,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPPQMLLMNHNFFAO09CA,11,10.89,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPPQMLLMNHNFFAO09CA,11,24.05,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPPQMLLMNHNFFAO09CA,11,.08,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPSNMLQLNHNFFAO86CA,4,105.78,見其他登記事項,鋼筋混凝土造,103年6月25日,十七層,六層
RPSNMLQLNHNFFAO86CA,4,44.48,共有部分,鋼筋混凝土造,103年6月25日,十七層,
RPSNMLQLNHNFFAO86CA,4,37.42,共有部分,鋼筋混凝土造,103年6月25日,十七層,
RPSPMLMLNHNFFAO66CA,24,54.92,住家用,鋼筋混凝土造,83年1月31日,九層,八層
RPSPMLMLNHNFFAO66CA,24,3.93,見使用執照,鋼筋混凝土造,83年1月31日,九層,
RPSPMLMLNHNFFAO66CA,24,9.66,共有部分,鋼筋混凝土造,83年1月31日,九層,
RPWNMLMLNHNFFAO86CA,45,108.60,住家用,加強磚造,62年5月7日,二層,一層 二層
RPRPMLSKNHNFFAO07CA,22,98.06,住家用,鋼筋混凝土造,84年12月8日,八層,五層
RPRPMLSKNHNFFAO07CA,22,14.66,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPRPMLSKNHNFFAO07CA,22,38.19,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPTNMLQLNHNFFAO96CA,2,101.46,見其他登記事項,鋼筋混凝土造,105年1月27日,二十八層,十三層
RPTNMLQLNHNFFAO96CA,2,80.56,共有部分,鋼筋混凝土造,105年1月27日,二十八層,
RPOQMLSKNHNFFAO86CA,11,25.77,辦公室,鋼筋混凝土造,96年3月31日,六層,四層
RPOQMLSKNHNFFAO86CA,11,.12,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPOQMLSKNHNFFAO86CA,11,.17,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPOQMLSKNHNFFAO86CA,11,.12,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPOQMLSKNHNFFAO86CA,11,.17,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPOQMLSKNHNFFAO86CA,11,37.42,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPOQMLSKNHNFFAO86CA,11,8.37,見其他登記事項,鋼筋混凝土造,96年3月31日,六層,
RPVQMLLLNHNFFAO96CA,20,98.01,見其他登記事項,鋼筋混凝土造,86年11月11日,十五層,三層
RPVQMLLLNHNFFAO96CA,20,15.90,共有部分,鋼筋混凝土造,86年11月11日,十五層,
RPVQMLLLNHNFFAO96CA,20,35.15,共有部分,鋼筋混凝土造,86年11月11日,十五層,
RPUOMLNLNHNFFAO86CA,,109.21,見其他登記事項,鋼筋混凝土造,106年12月8日,十五層,二層
RPUOMLNLNHNFFAO86CA,,25.88,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPUOMLNLNHNFFAO86CA,,3.77,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPUOMLNLNHNFFAO86CA,,14.23,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPUOMLNLNHNFFAO86CA,,.10,見其他登記事項,鋼筋混凝土造,106年12月8日,十五層,
RPUOMLNLNHNFFAO86CA,,49.37,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPSQMLQKNHNFFAO07CA,,150.40,住商用,加強磚造,,二層,一層 二層 騎樓
RPUOMLRLNHNFFAO27CA,26,88.80,見使用執照,鋼筋混凝土造,81年1月25日,五層,四層
RPUOMLRLNHNFFAO27CA,26,11.43,見使用執照,鋼筋混凝土造,81年1月25日,五層,
RPUOMLRLNHNFFAO27CA,26,31.07,見其他登記事項,鋼筋混凝土造,81年1月25日,五層,
RPWNMLRKNHNFFAO27CA,21,17.53,見其他登記事項,鋼筋混凝土造,86年7月15日,十二層,七層
RPWNMLRKNHNFFAO27CA,21,3.21,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWNMLRKNHNFFAO27CA,21,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWNMLRKNHNFFAO27CA,21,6.44,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPSOMLMJOHNFFAO09CA,20,95.80,住家用,鋼筋混凝土造,87年6月15日,十層,八層
RPSOMLMJOHNFFAO09CA,20,19.76,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPSOMLMJOHNFFAO09CA,20,50.87,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPQNMLRKNHNFFAO66CA,9,107.41,見其他登記事項,鋼筋混凝土造,98年7月21日,十五層,十二層
RPQNMLRKNHNFFAO66CA,9,20.32,見其他登記事項,鋼筋混凝土造,98年7月21日,十五層,
RPQNMLRKNHNFFAO66CA,9,23.35,見其他登記事項,鋼筋混凝土造,98年7月21日,十五層,
RPQNMLRKNHNFFAO66CA,9,.04,見其他登記事項,鋼筋混凝土造,98年7月21日,十五層,
