編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWOMLTLOHNFFAP18EB,光明段,110.70,非都市：工業區 ; 非都市編定：丁種建築用地
RPVOMLTLOHNFFAP08EB,光明段,90.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLTLOHNFFAP18EB,光明段,80.50,非都市：工業區 ; 非都市編定：丁種建築用地
RPOOMLTLOHNFFAP37EB,光明段,90.13,非都市：工業區 ; 非都市編定：丁種建築用地
RPPOMLTLOHNFFAP47EB,光明段,90.13,非都市：工業區 ; 非都市編定：丁種建築用地
RPUOMLTLOHNFFAP97EB,光明段,88.99,非都市：工業區 ; 非都市編定：丁種建築用地
RPQOMLTLOHNFFAP57EB,光明段,89.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPXOMLTLOHNFFAP28EB,光明段,108.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPTOMLTLOHNFFAP87EB,光明段,86.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLTLOHNFFAP97EB,光明段,104.54,非都市：工業區 ; 非都市編定：丁種建築用地
RPTNMLMJPHNFFAP96EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLMJPHNFFAP86EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLMJPHNFFAP66EB,光明段,84.17,非都市：工業區 ; 非都市編定：丁種建築用地
RPPPMLTLOHNFFAP57EB,光明段,88.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPQPMLTLOHNFFAP67EB,光明段,106.39,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLMJPHNFFAP56EB,光明段,108.06,非都市：工業區 ; 非都市編定：丁種建築用地
RPOPMLTLOHNFFAP47EB,光明段,108.30,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLMJPHNFFAP76EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPTNMLPJPHNFFAP27EB,光明段,92.75,非都市：工業區 ; 非都市編定：丁種建築用地
RPTOMLTJPHNFFAP77EB,光明段,89.34,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLMJPHNFFAP07EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLTJPHNFFAP37EB,光明段,99.22,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLMJPHNFFAP17EB,光明段,105.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPWNMLMJPHNFFAP27EB,光明段,103.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPUOMLTJPHNFFAP87EB,光明段,91.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLPJPHNFFAP37EB,光明段,92.75,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLTJPHNFFAP57EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLTJPHNFFAP77EB,光明段,84.56,非都市：工業區 ; 非都市編定：丁種建築用地
RPVOMLTJPHNFFAP97EB,光明段,91.88,非都市：工業區 ; 非都市編定：丁種建築用地
RPSPMLTJPHNFFAP77EB,光明段,106.40,非都市：工業區 ; 非都市編定：丁種建築用地
RPXPMLKKPHNFFAP47EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地
RPWPMLKKPHNFFAP37EB,光明段,98.87,非都市：工業區 ; 非都市編定：丁種建築用地
