編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLPKNHNFFAT37CA,18,47.14,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十一層
RPUNMLPKNHNFFAT37CA,18,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPNMLPKNHNFFAT86CA,1,206.44,住家用,鋼筋混凝土造,106年7月25日,三層,一層 二層 三層 屋頂突出物
RPSNMLLLNHNFFAT86CA,23,82.07,住家用,鋼筋混凝土造,84年5月25日,十二層,七層
RPSNMLLLNHNFFAT86CA,23,37.30,見其他登記事項,鋼筋混凝土造,84年5月25日,,
RPVOMLOKNHNFFAT47CA,18,91.43,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,三層
RPVOMLOKNHNFFAT47CA,18,29.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLQKNHNFFAT96CA,17,113.05,見其他登記事項,鋼筋混凝土造,89年12月30日,三層,一層 二層 三層 屋頂突出物 地下一層
RPOOMLQKNHNFFAT96CA,17,47.53,停車空間,鋼筋混凝土造,89年12月30日,四層,
RPSPMLOKNHNFFAT27CA,18,122.28,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPSPMLOKNHNFFAT27CA,18,59.54,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVNMLOKNHNFFAT37CA,,226.11,住家用,鋼筋混凝土造,106年12月20日,三層,一層 二層 三層
RPUNMLOKNHNFFAT27CA,,168.23,住家用,鋼筋混凝土造,106年12月20日,三層,一層 二層 三層
RPVNMLOLNHNFFAT47CA,34,84.07,見其他登記事項,鋼筋混凝土造,73年3月16日,五層,一層 二層 騎樓
RPVNMLOLNHNFFAT47CA,34,11.11,共用部份,鋼筋混凝土造,73年3月16日,,
RPSNMLQLNHNFFAT37CA,38,74.50,住家用,加強磚造,69年8月25日,二層,一層 二層
RPSNMLKMNHNFFAT86CA,,97.49,見其他登記事項,鋼筋混凝土造,107年1月31日,五層,四層
RPSNMLKMNHNFFAT86CA,,58.38,見其他登記事項,鋼筋混凝土造,107年1月31日,五層,
RPPNMLRJOHNFFAT07CA,,354.35,店舖、住宅,鋼筋混凝土造,106年11月27日,三層,一層 二層 三層 屋頂突出物 騎樓
