編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLOJOHNFFAV96CA,升降機械,0,
RPROMLRLOHNFFAV77CA,其他,250000,13.62
RPTNMLKLQHNFFAV37CA,坡道平面,0,
RPSNMLKLQHNFFAV27CA,坡道機械,0,
RPRNMLKLQHNFFAV17CA,坡道平面,0,
RPVNMLKLQHNFFAV57CA,坡道平面,0,
RPUNMLKLQHNFFAV47CA,坡道平面,0,
RPWNMLKLQHNFFAV67CA,坡道平面,0,
RPXNMLKLQHNFFAV77CA,坡道平面,0,
RPOOMLKLQHNFFAV96CA,坡道機械,0,
RPXNMLNLQHNFFAV08CA,坡道機械,0,
RPPOMLKLQHNFFAV07CA,坡道平面,0,
RPQOMLKLQHNFFAV17CA,坡道平面,0,
RPUNMLLLQHNFFAV57CA,坡道平面,0,
RPROMLKLQHNFFAV27CA,坡道平面,0,
RPTOMLKLQHNFFAV47CA,坡道平面,0,
RPUOMLKLQHNFFAV57CA,坡道平面,0,
RPSOMLKLQHNFFAV37CA,坡道平面,0,
RPVOMLKLQHNFFAV67CA,坡道平面,0,
RPXOMLKLQHNFFAV87CA,坡道平面,0,
RPQNMLOKQHNFFAV37CA,其他,230000,13.62
RPWOMLKLQHNFFAV77CA,坡道平面,0,
