編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLRKQHNFFBC78CC,深澳坑段槓子寮小段,78.69,都市：住
RPPNMLLLQHNFFBC08CC,長潭段,.00,都市：住
RPPNMLLLQHNFFBC08CC,長潭段,.00,都市：住
RPOOMLRKQHNFFCC68CC,代天府段,29.12,都市：住
RPXNMLKMQHNFFCC98CC,新城段,463.00,都市：住
RPTNMLKMQHNFFCC68DC,仁德段,10.25,都市：住
RPWNMLRLQHNFFBC86DC,忠義段四小段,13.00,都市：商
RPWNMLRLQHNFFBC86DC,忠義段四小段,4.33,都市：商
RPRNMLPLIINFFCC08CC,源遠段,19.81,都市：住
RPSNMLPJRHNFFBC68CC,中央段四小段,100.00,都市：商
RPSNMLPJRHNFFBC68CC,中央段四小段,17.00,都市：商
RPTNMLLJIINFFBC57CC,延平段,.00,都市：商
RPXNMLPLIINFFBC58CC,延年段,.00,都市：商
RPXNMLPLIINFFBC58CC,延年段,.00,都市：商
RPQNMLKMRHNFFBC28CC,深澳段,.00,都市：其他
RPQNMLKMRHNFFBC28CC,深澳段,.00,都市：住
RPPNMLLJRHNFFBC97CC,調和段,.00,都市：住
RPPQMLMJIINFFBC57CC,中央段四小段,33.34,都市：商
RPPQMLMJIINFFBC57CC,中央段四小段,5.67,都市：商
RPPNMLNJJINFFCC67DC,大華段,12.67,都市：商
RPTNMLPJJINFFCC18CC,武嶺段,6.80,都市：其他
RPTNMLPJJINFFCC18CC,武嶺段,.07,都市：其他
RPTNMLPJJINFFCC18CC,武嶺段,.00,都市：其他
RPTNMLPJJINFFCC18CC,武嶺段,2.38,都市：住
