編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLLKQHNFFBF98DB,力行段,14.44,都市：住
RPQOMLLKQHNFFBF48DB,力行段,8.41,都市：住
RPOOMLLKQHNFFBF28DB,力行段,8.41,都市：住
RPROMLLKQHNFFBF58DB,力行段,8.41,都市：住
RPVOMLLKQHNFFBF98DB,力行段,8.41,都市：住
RPXNMLLKQHNFFBF09DB,力行段,8.41,都市：住
RPUNMLLKQHNFFBF78DB,力行段,14.69,都市：住
RPVNMLLKQHNFFBF88DB,力行段,13.69,都市：住
RPPNMLLKQHNFFBF28DB,力行段,14.69,都市：住
RPQNMLLKQHNFFBF38DB,力行段,14.39,都市：住
RPXOMLLKQHNFFBF56DB,力行段,8.41,都市：住
RPOPMLLKQHNFFBF38DB,力行段,8.41,都市：住
RPWOMLLKQHNFFBF09DB,力行段,8.41,都市：住
RPTNMLMKQHNFFBF78DB,力行段,14.04,都市：住
RPPNMLMKQHNFFBF38DB,力行段,8.43,都市：住
RPVNMLMKQHNFFBF98DB,力行段,11.59,都市：住
RPOOMLMKQHNFFBF38DB,力行段,12.29,都市：住
RPUNMLMKQHNFFBF88DB,力行段,12.01,都市：住
RPSOMLMKQHNFFBF78DB,力行段,12.29,都市：住
RPROMLMKQHNFFBF68DB,力行段,12.29,都市：住
RPTOMLNKQHNFFBF98DB,力行段,12.29,都市：住
RPXUMLOKQHNFFBF47DB,力行段,11.72,都市：住
RPWVMLOKQHNFFBF47DB,力行段,11.66,都市：住
RPTOMLMKQHNFFBF88DB,力行段,11.59,都市：住
RPOOMLPKQHNFFBF68DB,力行段,11.66,都市：住
RPWPMLPKQHNFFBF96DB,力行段,11.66,都市：住
RPVOMLPKQHNFFBF76DB,力行段,11.66,都市：住
RPSTMLOKQHNFFBF86DB,力行段,11.72,都市：住
RPTOMLPKQHNFFBF56DB,力行段,12.36,都市：住
RPUUMLOKQHNFFBF17DB,力行段,11.02,都市：住
RPWRMLOKQHNFFBF07DB,力行段,11.59,都市：住
RPOQMLPKQHNFFBF88DB,力行段,11.66,都市：住
RPRQMLPKQHNFFBF56DB,力行段,12.36,都市：住
RPUQMLPKQHNFFBF86DB,力行段,12.36,都市：住
RPORMLPKQHNFFBF98DB,力行段,9.83,都市：住
RPRSMLPKQHNFFBF76DB,力行段,9.83,都市：住
RPVSMLPKQHNFFBF17DB,力行段,9.83,都市：住
RPVQMLPKQHNFFBF96DB,力行段,9.83,都市：住
RPWRMLPKQHNFFBF17DB,力行段,9.83,都市：住
RPXSMLPKQHNFFBF37DB,力行段,9.83,都市：住
RPTPMLPKQHNFFEF86CB,淡海段,46.75,都市：住
RPVPMLPKQHNFFEF07CB,淡海段,46.75,都市：住
RPWOMLPKQHNFFEF07CB,淡海段,60.95,都市：住
RPSOMLPKQHNFFEF66CB,淡海段,54.56,都市：住
RPPOMLPKQHNFFEF98CB,淡海段,60.95,都市：住
RPTOMLPKQHNFFEF76CB,淡海段,59.53,都市：住
RPVOMLPKQHNFFEF96CB,淡海段,54.56,都市：住
RPOQMLPKQHNFFEF09CB,淡海段,43.05,都市：住
RPWPMLPKQHNFFEF17CB,淡海段,94.42,都市：住
RPOPMLPKQHNFFEF98CB,淡海段,87.03,都市：住
RPSQMLPKQHNFFEF86CB,淡海段,43.05,都市：住
RPTQMLPKQHNFFEF96CB,淡海段,43.05,都市：住
RPUQMLPKQHNFFEF07CB,淡海段,42.34,都市：住
RPVQMLPKQHNFFEF17CB,淡海段,42.34,都市：住
RPQRMLPKQHNFFEF76CB,淡海段,39.57,都市：住
RPRRMLPKQHNFFEF86CB,淡海段,39.14,都市：住
RPWQMLPKQHNFFEF27CB,淡海段,43.05,都市：住
RPTRMLPKQHNFFEF07CB,淡海段,60.67,都市：住
RPURMLPKQHNFFEF17CB,淡海段,54.56,都市：住
RPVRMLPKQHNFFEF27CB,淡海段,54.56,都市：住
RPOSMLPKQHNFFEF66CB,淡海段,46.75,都市：住
RPUSMLPKQHNFFEF27CB,淡海段,46.75,都市：住
RPOTMLPKQHNFFEF76CB,淡海段,46.75,都市：住
RPTNMLQKQHNFFEF76CB,淡海段,94.42,都市：住
RPXSMLPKQHNFFEF57CB,淡海段,51.72,都市：住
RPWRMLPKQHNFFEF37CB,淡海段,87.03,都市：住
RPQSMLPKQHNFFEF86CB,淡海段,53.14,都市：住
RPRSMLPKQHNFFEF96CB,淡海段,46.75,都市：住
RPUNMLQKQHNFFEF86CB,淡海段,44.05,都市：住
RPWNMLQKQHNFFEF07CB,淡海段,49.45,都市：住
RPPOMLQKQHNFFEF09CB,淡海段,43.05,都市：住
RPXNMLQKQHNFFEF17CB,淡海段,42.34,都市：住
RPQOMLQKQHNFFEF56CB,淡海段,43.05,都市：住
RPROMLQKQHNFFEF66CB,淡海段,49.45,都市：住
RPTOMLQKQHNFFEF86CB,淡海段,43.05,都市：住
RPWOMLQKQHNFFEF17CB,淡海段,43.05,都市：住
RPSOMLQKQHNFFEF76CB,淡海段,43.05,都市：住
RPUOMLQKQHNFFEF96CB,淡海段,43.05,都市：住
