編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSPMLRKQHNFFBJ17CC,坡道平面,0,33.06
RPRNMLLLQHNFFBJ98CC,坡道平面,0,
RPXOMLOKQHNFFBJ27CC,坡道平面,0,
RPXOMLOKQHNFFBJ27CC,坡道平面,0,
RPQNMLLLQHNFFBJ88CC,坡道平面,0,
RPVNMLRKQHNFFBJ37DC,坡道平面,0,
RPSNMLLLQHNFFBJ09CC,坡道平面,0,
RPUNMLLLQHNFFBJ66CC,坡道平面,0,
RPUNMLLLQHNFFBJ66CC,坡道平面,0,
RPPNMLOLQHNFFBJ09CC,坡道平面,0,
RPSNMLNJRHNFFBJ56CC,坡道平面,0,
RPPOMLRKQHNFFBJ86DC,坡道平面,0,
RPPOMLRKQHNFFBJ86DC,坡道平面,0,
RPPOMLNJRHNFFBJ98CC,坡道平面,0,
RPPOMLNJRHNFFBJ98CC,坡道平面,0,
RPPPMLNJRHNFFBJ09CC,坡道平面,0,
RPPPMLNJRHNFFBJ09CC,坡道平面,0,
RPRPMLNJRHNFFBJ66CC,坡道平面,0,
RPSPMLNJRHNFFBJ76CC,坡道平面,0,
RPOPMLNJRHNFFBJ98CC,坡道平面,0,
RPUNMLOJRHNFFBJ86CC,坡道平面,0,34.86
RPUNMLOJRHNFFBJ86CC,坡道平面,0,34.86
RPVNMLOJRHNFFBJ96CC,坡道平面,0,37.87
RPRNMLOJRHNFFBJ56CC,坡道平面,0,34.86
RPRNMLOJRHNFFBJ56CC,坡道平面,0,34.86
RPXNMLOJRHNFFBJ17CC,坡道平面,0,
RPRNMLPJRHNFFBJ66CC,坡道平面,0,
RPRNMLPJRHNFFBJ66CC,坡道平面,0,
RPXNMLKLRHNFFBJ96CC,坡道平面,0,
RPRPMLTKRHNFFBJ37CC,坡道平面,0,
RPRPMLTKRHNFFBJ37CC,坡道平面,0,
RPRPMLTKRHNFFBJ37CC,坡道平面,0,
RPSQMLLLRHNFFBJ86CC,坡道機械,0,
RPOOMLKLRHNFFBJ78CC,坡道平面,0,
RPPOMLKLRHNFFBJ88CC,坡道機械,0,
RPQOMLKLRHNFFBJ98CC,坡道平面,0,
RPPOMLPLRHNFFBJ76CC,坡道機械,0,
RPXPMLLJIINFFBJ88CC,坡道平面,0,31.67
RPWPMLLJIINFFBJ78CC,坡道平面,0,33.47
RPPNMLNJIINFFBJ08CC,坡道平面,0,
RPSOMLQJIINFFBJ78CC,坡道平面,0,
RPROMLQJIINFFBJ68CC,坡道平面,0,
RPSOMLSJIINFFBJ98CC,坡道平面,0,36.42
RPROMLRKIINFFBJ88CC,坡道平面,0,
RPRNMLTJIINFFBJ88CC,坡道平面,0,
RPWOMLSKIINFFBJ86CC,坡道平面,0,
RPOPMLSKIINFFBJ78CC,坡道平面,0,
RPTPMLSKIINFFBJ66CC,坡道平面,0,31.73
RPQNMLMLIINFFBJ28CC,坡道平面,0,32.73
RPRNMLOLIINFFBJ58CC,坡道平面,0,
RPRNMLOLIINFFBJ58CC,坡道平面,0,
RPQOMLMJJINFFBJ28CC,坡道平面,0,
RPVNMLRJJINFFBJ56CC,坡道平面,0,
RPQOMLRJJINFFBJ78CC,坡道平面,0,
RPROMLRJJINFFBJ88CC,坡道平面,0,
RPROMLRJJINFFBJ88CC,坡道平面,0,
