鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,房地(土地+建物)+車位,中寮段421~450地號,24.53,住,,,1050920,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.34,3,2,2,有,無,5660000,43721,其他,11.15,580000,,RPXNMLMKRHNFFAO57EB
新竹市,房地(土地+建物)+車位,東光段511~540地號,30.62,其他,,,1031206,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.2,3,2,2,有,無,12190000,79287,坡道平面,34.59,1200000,,RPOTMLNLIINFFAO66EB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,43.38,,特定農業區,甲種建築用地,1070115,土地2建物1車位2,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.0,3,2,2,有,無,10690000,69552,坡道平面,84.62,1900000,,RPSPMLQLIINFFAO76CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,28.18,,特定農業區,甲種建築用地,1070803,土地2建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.1,2,2,1,有,無,6900000,69893,坡道平面,42.97,950000,,RPTPMLQLIINFFAO86CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,28.18,,特定農業區,甲種建築用地,1070115,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.1,2,2,1,有,無,6640000,66839,坡道平面,42.97,950000,,RPUPMLQLIINFFAO96CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,28.18,,特定農業區,甲種建築用地,1070115,土地2建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.1,2,2,1,有,無,6720000,67779,坡道平面,42.97,950000,,RPVPMLQLIINFFAO07CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,28.14,,特定農業區,甲種建築用地,1070803,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.78,2,2,1,有,無,6820000,68953,坡道平面,41.65,950000,,RPWPMLQLIINFFAO17CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,35.99,,特定農業區,甲種建築用地,1070206,土地2建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.01,3,2,2,有,無,8290000,66087,坡道平面,42.97,1150000,,RPXPMLQLIINFFAO27CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,41.81,,特定農業區,甲種建築用地,1070125,土地2建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,169.45,3,2,2,有,無,9230000,64006,坡道平面,41.65,1050000,,RPOQMLQLIINFFAO09CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,28.18,,特定農業區,甲種建築用地,1070210,土地2建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.1,2,2,1,有,無,6870000,68366,坡道平面,42.97,1050000,,RPPQMLQLIINFFAO56CB
新竹市,房地(土地+建物)+車位,隆恩段1291~1320地號,41.52,,特定農業區,甲種建築用地,1070115,土地2建物1車位1,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,172.32,3,2,2,有,無,10590000,74526,坡道平面,42.97,950000,,RPQQMLQLIINFFAO66CB
