鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區中山北路二段59巷1~30號,0.0,商,,,1071028,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741004,76.38,2,2,1,有,有,無,23000,301,,0.0,0,,RPPNMLMKJINFFCA37CC
內湖區,建物,臺北市內湖區金豐街61~90號,0.0,其他,,,1071023,土地0建物1車位1,十層,10,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0991124,133.67000000000002,0,1,1,有,有,有,35000,262,坡道平面,38.72,0,租金含管理費,RPSNMLMKJINFFCA67CC
中山區,建物,臺北市中山區農安街31~60號,0.0,商,,,1071023,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650623,36.45,1,0,1,有,有,有,16000,439,,0.0,0,,RPTNMLMKJINFFCA77CC
內湖區,建物,臺北市內湖區民權東路六段190巷21弄31~60號,0.0,住,,,1071021,土地0建物1車位1,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1040129,37.68,1,0,1,有,有,有,24000,637,塔式車位,0.0,0,,RPVNMLMKJINFFCA97CC
中山區,建物,臺北市中山區復興北路91~120號,0.0,商,,,1071030,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670522,107.77,2,1,1,有,有,有,30000,278,,0.0,0,,RPTOMLMKJINFFCA87CC
內湖區,建物,臺北市內湖區內湖路三段191巷1~30號,0.0,住,,,1071025,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700128,98.74,3,2,2,有,無,有,18000,182,,0.0,0,台北市社會住宅包租代管計畫專案,RPWPMLMKJINFFCA28CC
信義區,建物,臺北市信義區永吉路30巷158弄1~30號,0.0,住,,,1071009,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0630726,36.3,0,0,0,無,無,無,62000,1708,,0.0,0,此店面為分割店面,RPUNMLMKJINFFDA97CC
松山區,建物,臺北市松山區南京東路五段211~240號,0.0,其他,,,1071008,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,55.44,1,1,1,有,有,有,30000,541,,0.0,0,,RPVNMLMKJINFFDA08CC
松山區,建物,臺北市松山區八德路三段1~30號,0.0,商,,,1071023,土地0建物1車位0,一層,16,店面(店鋪),商業用,鋼骨鋼筋混凝土造,0811121,286.19,0,0,0,無,有,無,340000,1188,,0.0,0,,RPXNMLMKJINFFDA28CC
