編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLNJKINFFBG78DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLNJKINFFBG78DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLNJKINFFBG78DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLNJKINFFBG78DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLNJKINFFBG68DB,新三泰段,56.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLNJKINFFBG68DB,新三泰段,23.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLNJKINFFBG68DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLNJKINFFBG68DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLNJKINFFBG28DB,新三泰段,56.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLNJKINFFBG28DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLNJKINFFBG28DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQPMLNJKINFFBG28DB,新三泰段,3.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLNJKINFFBG58DB,新三泰段,82.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLNJKINFFBG58DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLNJKINFFBG58DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJKINFFBG88DB,新三泰段,56.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJKINFFBG88DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJKINFFBG88DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLNJKINFFBG88DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNJKINFFBG18DB,新三泰段,56.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNJKINFFBG18DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNJKINFFBG18DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPPMLNJKINFFBG18DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLNJKINFFBG98DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLNJKINFFBG98DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLNJKINFFBG98DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLNJKINFFBG98DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLNJKINFFBG68DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLNJKINFFBG68DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLNJKINFFBG68DB,新三泰段,102.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLNJKINFFBG68DB,新三泰段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNJKINFFBG08DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNJKINFFBG08DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNJKINFFBG08DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLNJKINFFBG08DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJKINFFBG58DB,新三泰段,65.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJKINFFBG58DB,新三泰段,15.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJKINFFBG58DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJKINFFBG58DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLNJKINFFBG09DB,新三泰段,59.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLNJKINFFBG09DB,新三泰段,25.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLNJKINFFBG09DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLNJKINFFBG09DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLNJKINFFBG98DB,新三泰段,59.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLNJKINFFBG98DB,新三泰段,27.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLNJKINFFBG98DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWQMLNJKINFFBG98DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLNJKINFFBG38DB,新三泰段,77.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLNJKINFFBG38DB,新三泰段,3.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLNJKINFFBG38DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPRMLNJKINFFBG38DB,新三泰段,3.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLNJKINFFBG48DB,新三泰段,66.09,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLNJKINFFBG48DB,新三泰段,14.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLNJKINFFBG48DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLNJKINFFBG48DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUQMLNJKINFFBG78DB,新三泰段,91.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUQMLNJKINFFBG78DB,新三泰段,4.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUQMLNJKINFFBG78DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUQMLNJKINFFBG78DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLNJKINFFBG78DB,新三泰段,87.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLNJKINFFBG78DB,新三泰段,3.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLNJKINFFBG78DB,新三泰段,1.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTRMLNJKINFFBG78DB,新三泰段,3.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLNJKINFFBG58DB,新三泰段,63.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLNJKINFFBG58DB,新三泰段,17.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLNJKINFFBG58DB,新三泰段,1.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRRMLNJKINFFBG58DB,新三泰段,3.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVRMLNJKINFFBG98DB,新三泰段,80.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVRMLNJKINFFBG98DB,新三泰段,3.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVRMLNJKINFFBG98DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVRMLNJKINFFBG98DB,新三泰段,3.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLNJKINFFBG56DB,新三泰段,74.21,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLNJKINFFBG56DB,新三泰段,5.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLNJKINFFBG56DB,新三泰段,1.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXRMLNJKINFFBG56DB,新三泰段,3.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSRMLNJKINFFBG68DB,新三泰段,66.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSRMLNJKINFFBG68DB,新三泰段,14.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSRMLNJKINFFBG68DB,新三泰段,1.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSRMLNJKINFFBG68DB,新三泰段,3.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPSMLNJKINFFBG48DB,新三泰段,63.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPSMLNJKINFFBG48DB,新三泰段,20.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPSMLNJKINFFBG48DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPSMLNJKINFFBG48DB,新三泰段,3.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOSMLNJKINFFBG38DB,新三泰段,67.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOSMLNJKINFFBG38DB,新三泰段,11.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOSMLNJKINFFBG38DB,新三泰段,1.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOSMLNJKINFFBG38DB,新三泰段,3.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRSMLNJKINFFBG68DB,新三泰段,75.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRSMLNJKINFFBG68DB,新三泰段,21.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRSMLNJKINFFBG68DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRSMLNJKINFFBG68DB,新三泰段,3.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJKINFFBG78DB,新三泰段,66.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJKINFFBG78DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJKINFFBG78DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLOJKINFFBG78DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLOJKINFFBG28DB,新三泰段,75.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLOJKINFFBG28DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLOJKINFFBG28DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLOJKINFFBG28DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOJKINFFBG48DB,新三泰段,86.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOJKINFFBG48DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOJKINFFBG48DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQQMLOJKINFFBG48DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJKINFFBG98DB,新三泰段,87.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJKINFFBG98DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJKINFFBG98DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLOJKINFFBG98DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJKINFFBG68DB,新三泰段,66.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJKINFFBG68DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJKINFFBG68DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLOJKINFFBG68DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,54.65,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLOJKINFFBG58DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJKINFFBG09DB,新三泰段,92.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJKINFFBG09DB,新三泰段,7.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJKINFFBG09DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJKINFFBG09DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLOJKINFFBG09DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,64.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,1.62,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,27.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJKINFFBG68DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJKINFFBG58DB,新三泰段,73.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJKINFFBG58DB,新三泰段,13.73,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJKINFFBG58DB,新三泰段,1.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJKINFFBG58DB,新三泰段,18.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJKINFFBG58DB,新三泰段,2.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJKINFFBG28DB,新三泰段,59.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLPJKINFFBG18DB,新三泰段,70.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPJKINFFBG88DB,新三泰段,61.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLPJKINFFBG48DB,新三泰段,67.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPJKINFFBG38DB,新三泰段,71.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLPJKINFFBG58DB,新三泰段,58.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLPJKINFFBG98DB,新三泰段,96.27,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,1.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,24.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,2.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLPJKINFFBG09DB,新三泰段,78.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLPJKINFFBG68DB,新三泰段,61.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,24.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,2.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJKINFFBG88DB,新三泰段,63.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,1.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,24.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,2.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMJJHOFFBG08DB,新三泰段,78.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
