鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
公館鄉,房地(土地+建物),苗栗縣公館鄉館南村23鄰民生街61~90號,98.08,住,,,1071012,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0701215,134.17,0,0,0,無,無,4300000,32049,,0.0,0,,RPQNMLPKJINFFBK48CA
公館鄉,土地,南河段901~930地號,1208.0,,山坡地保育區,農牧用地,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,207,,0.0,0,,RPXNMLTLJINFFBK07CA
苗栗市,土地,巨蛋段1231~1260地號,35.67,住,,,1071016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2817217,78980,,0.0,0,,RPTNMLQJKINFFBK88CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮中正里4鄰中正1~30號,103.67,住,,,1060524,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070704,176.83,4,1,3,有,有,6680000,37776,,0.0,0,,RPQNMLQKJINFFCK68CA
造橋鄉,土地,南豐湖段601~630地號,705.0,,山坡地保育區,農牧用地,1071020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,1064,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLMKJINFFDK98CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里2鄰大埔十街46巷1~30號,28.49,住,,,1071003,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060825,134.01999999999998,2,1,1,有,有,4800000,39757,坡道平面,33.41,800000,此交易內含機車位1個，且價款已含入交易總價；與（頭份市信義段移轉面積2.08㎡）併同辦理,RPQNMLNKJINFFDK48CA
竹南鎮,土地,崎工段121~150地號,83.0,,工業區,丁種建築用地,1071025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,34940,,0.0,0,,RPUNMLNKJINFFDK88CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮崎頂里4鄰仁愛路2161~2190號,33.54,,一般農業區,甲種建築用地,1070910,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050822,102.85,3,2,2,有,無,4800000,44685,坡道機械,6.62,500000,,RPVNMLNKJINFFDK98CA
竹南鎮,土地,仁德段211~240地號,69.98,住,,,1071002,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,28580,,0.0,0,親戚間買賣,RPSNMLOKJINFFDK78CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山里17鄰龍好街23巷38弄1~30號,89.3,住,,,1071022,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070712,175.11,4,2,3,有,無,9500000,54252,,0.0,0,,RPUNMLOKJINFFDK98CA
