鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
後龍鎮,土地,龍頂段241~270地號,1576.93,住,,,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50000,32,,0.0,0,,RPQOMLKLJINFFDK58CC
苗栗市,房地(土地+建物),苗栗縣苗栗市縣府路91~120號,15.43,住,,,1071122,土地1建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881206,95.42,3,2,2,有,有,有,12155,127,,0.0,0,,RPQNMLNLJINFFBK68DC
苗栗市,建物,苗栗縣苗栗市恭敬路61~90號,0.0,住,,,1071030,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850710,54.8,1,1,2,有,無,有,6500,119,,0.0,0,有民情風俗因素之交易。;,RPPNMLQLJINFFBK78CC
苑裡鎮,建物,苗栗縣苑裡鎮社苓里3鄰社苓361~390號,555.37,,特定農業區,丁種建築用地,1071128,土地0建物1車位0,見其他登記事項,1,工廠,住家用,鋼筋混凝土造,0680520,555.37,0,0,0,無,無,無,50400,,,0.0,0,期待因素影響之交易。;,RPRNMLTLJINFFCK76CC
苗栗市,房地(土地+建物),苗栗縣苗栗市中華路241~270號,104.33,住,,,1080101,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840826,92.33,3,1,1,有,無,無,6000,65,,0.0,0,,RPPNMLMJJHOFFBK18CC
後龍鎮,房地(土地+建物),苗栗縣後龍鎮苗栗縣後龍鎮豐富里16鄰新東路421~450號,312.93,住,,,1071210,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,1020709,549.3,6,2,4,有,無,有,45000,82,,0.0,0,,RPOPMLKKJHOFFDK38CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中華路211~240號,613.64,工,,,1080101,土地1建物1車位0,一層,1,其他,工商用,見其他登記事項,0680210,422.82,0,0,0,無,無,無,50000,118,,0.0,0,,RPRNMLLKJHOFFDK58CC
苗栗市,房地(土地+建物),苗栗縣苗栗市苗栗市恭敬里8鄰中正路1081~1110號,5.17,住,,,1080115,土地3建物1車位0,十層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960716,65.6,1,0,1,有,有,有,6800,104,,0.0,0,,RPQNMLSKJHOFFBK09DC
苗栗市,房地(土地+建物),苗栗縣苗栗市恭敬里8鄰中正路1081~1110號,3.94,住,,,1080115,土地3建物1車位0,六層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960716,30.57,1,0,1,有,有,有,6300,206,,0.0,0,,RPRNMLSKJHOFFBK56DC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市北苗里19鄰文?街91~120號,445.0,住,,,1071010,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041116,156.73000000000002,3,2,2,有,有,有,15000,96,一樓平面,0.0,0,,RPUNMLLLJHOFFBK78CC
苗栗市,房地(土地+建物),苗栗縣苗栗市玉華里3鄰翠園1~30號,41.32,,鄉村區,乙種建築用地,1080121,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750808,106.32,3,2,2,有,無,有,9500,89,,0.0,0,,RPRNMLMLJHOFFBK58CC
苗栗市,房地(土地+建物),苗栗縣苗栗市英才路31~60號,80.4,住,,,1080110,土地1建物1車位0,二層,2,店面(店鋪),住家用,加強磚造,0690212,38.14,3,2,2,有,無,無,16000,420,,0.0,0,,RPXNMLLMJHOFFBK56CC
