鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東巿,房地(土地+建物),屏東縣屏東市信義路181~210號,192.0,住,,,1071110,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870519,35.26,2,1,1,有,無,有,9500,269,,0.0,0,租金含第四台及網路費月,RPSNMLPKJINFFAT17DC
潮州鎮,房地(土地+建物),屏東縣潮州鎮新生里忠孝路31~60號,95.08,商,,,1071121,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0840524,40.62,5,2,4,有,無,無,16000,394,,0.0,0,,RPOOMLNLJINFFCT86CC
屏東巿,房地(土地+建物)+車位,屏東縣屏東市民權路91~120號,7.42,商,,,1071105,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040617,194.1,2,2,2,有,有,有,23770,122,坡道平面,21.03,0,,RPQOMLTLJINFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市林森路1~30號,115.0,商,,,1071118,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0640707,196.1,0,0,0,無,無,有,22000,112,,0.0,0,,RPSOMLTLJINFFAT67CC
屏東巿,房地(土地+建物)+車位,屏東縣屏東市華盛街31~60號,45.6,住,,,1071205,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,181.01,3,2,2,有,有,無,13500,75,坡道平面,0.0,0,,RPOOMLPJKINFFAT76CC
潮州鎮,土地,光春段91~120地號,2045.6,,一般農業區,農牧用地,1071201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,12,,0.0,0,有民情風俗因素之交易。;,RPQNMLOKKINFFCT07CC
屏東巿,房地(土地+建物),屏東縣屏東市自由路211~240號,82.0,商,,,1071203,土地1建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0790722,82.0,0,1,1,有,無,無,25000,305,,0.0,0,,RPROMLSKKINFFAT57DC
潮州鎮,土地,光春段91~120地號,1331.54,,一般農業區,農牧用地,1071215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,11,,0.0,0,,RPRNMLKLKINFFCT86CC
屏東巿,房地(土地+建物),屏東縣屏東市和平路181~210號,182.0,住,,,1071122,土地2建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0650323,219.42,5,2,3,有,無,無,35000,160,,0.0,0,,RPUNMLLLKINFFAT17DC
屏東巿,房地(土地+建物)+車位,屏東縣屏東市大武路301~330號,17.17,住,,,1071218,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,116.93,3,2,2,有,有,有,13000,111,升降機械,0.0,0,,RPOOMLQLKINFFAT17DC
屏東巿,房地(土地+建物),屏東縣屏東市自立路181~210號,69.0,住,,,1071215,土地1建物2車位0,一層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0701231,186.96,2,1,1,有,無,無,17000,91,,0.0,0,有民情風俗因素之交易。;,RPOPMLSLKINFFAT47DC
屏東巿,房地(土地+建物)+車位,屏東縣屏東市博愛路391~420號,19.54,住,,,1071224,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850315,117.74000000000001,3,2,2,有,無,有,13000,110,升降機械,0.0,0,租金含管理費2120元/月,RPPNMLMJJHOFFAT98CC
屏東巿,房地(土地+建物),屏東縣屏東市建豐路271~300號,60.0,住,,,1080101,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0830413,117.15,2,2,3,有,無,無,14000,120,,0.0,0,,RPSNMLMJJHOFFAT66CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮北門路91~120號,85.0,住,,,1071227,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0790610,212.48,6,3,4,有,無,無,15000,71,,0.0,0,,RPVNMLNJJHOFFCT27CC
屏東巿,房地(土地+建物),屏東縣屏東市建國路211~240號,77.0,住,,,1080103,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0841020,236.73,0,0,0,無,無,無,20000,84,,0.0,0,,RPQOMLTKJHOFFAT37CC
屏東巿,房地(土地+建物),屏東縣屏東市廣東路721~750號,119.0,住,,,1080124,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0670916,126.4,5,2,3,有,無,無,21000,166,,0.0,0,,RPWNMLPLJHOFFAT57CC
