編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPVOMLPKKHOFFBB28CA,坡道平面,1400000,36.69
RPUOMLNKKHOFFBB97CA,坡道平面,0,14.98
RPUPMLOKKHOFFBB18CA,坡道平面,0,49.35
RPUPMLOKKHOFFBB18CA,坡道平面,0,49.35
RPXNMLKLKHOFFBB97CA,坡道機械,0,24.49
RPVQMLTKKHOFFBB88CA,坡道平面,1600000,36.69
RPTNMLNKKHOFFCB87CA,坡道平面,0,
RPTPMLLKKHOFFCB87CA,坡道機械,0,23.34
RPTPMLLKKHOFFCB87CA,坡道機械,0,23.34
RPPPMLQLKHOFFBB97CA,坡道平面,800000,34.99
RPXNMLOKKHOFFCB38CA,坡道平面,900000,34.72
RPSPMLOKKHOFFCB08CA,升降平面,0,
RPTNMLPJLHOFFBB97CA,坡道機械,650000,14.73
RPOOMLOKKHOFFCB57CA,坡道平面,1200000,22.28
RPQRMLPKKHOFFCB18CA,坡道機械,0,
RPVOMLQJLHOFFBB38CA,坡道機械,0,14.97
RPRNMLNJLHOFFBB57CA,坡道機械,0,15.54
RPVPMLMLKHOFFCB28CA,坡道機械,0,7.05
RPRPMLMLKHOFFCB87CA,坡道平面,0,13.22
RPWOMLSKKHOFFCB78CA,坡道平面,0,23.80
RPWOMLSKKHOFFCB78CA,坡道平面,0,23.80
RPVOMLSKKHOFFCB68CA,坡道平面,0,23.80
RPVOMLSKKHOFFCB68CA,坡道平面,0,23.80
RPVOMLSKKHOFFCB68CA,坡道平面,0,23.80
RPSQMLPJLHOFFCB28CA,坡道平面,0,23.33
RPSQMLPJLHOFFCB28CA,坡道平面,0,23.33
RPPNMLPJLHOFFCB67CA,坡道平面,0,
RPPNMLTKKHOFFFB38CA,坡道平面,0,
RPOQMLKLKHOFFFB77CA,坡道平面,0,
RPSOMLLKKHOFFIB28CA,坡道機械,0,
RPTNMLMKKHOFFIB38CA,坡道平面,0,37.18
RPWNMLPJLHOFFHB88CA,一樓平面,0,
RPQNMLKLKHOFFIB97CA,坡道平面,0,26.52
RPOOMLTKKHOFFIB68CA,坡道平面,0,27.13
RPTNMLPKKHOFFJB78CA,坡道平面,0,
RPTNMLPKKHOFFJB78CA,坡道平面,0,
RPQNMLKLKHOFFJB08CA,坡道平面,900000,24.46
RPVNMLLLKHOFFJB68CA,坡道平面,0,32.24
RPVNMLLLKHOFFJB68CA,坡道平面,0,32.24
RPWNMLMLKHOFFIB78CA,坡道平面,0,30.30
RPROMLLKKHOFFJB28CA,坡道機械,0,
RPWNMLLLKHOFFJB78CA,坡道平面,0,32.24
RPWNMLLLKHOFFJB78CA,坡道平面,0,32.24
RPOOMLLLKHOFFJB08CA,坡道平面,1000000,32.24
RPXNMLLLKHOFFJB88CA,坡道平面,0,32.24
RPXNMLLLKHOFFJB88CA,坡道平面,0,32.24
RPWNMLSJLHOFFIB66CA,坡道平面,0,26.51
RPSOMLMKKHOFFBB77DA,坡道機械,0,
RPVNMLOJLHOFFJB88CA,坡道平面,1200000,31.32
RPQOMLLLKHOFFIB18CA,坡道平面,1200000,30.05
RPPOMLKLKHOFFIB97CA,坡道平面,0,
RPTNMLQLKHOFFJB98CA,其他,0,
RPWPMLLKLHOFFIB88CA,坡道平面,1000000,26.41
RPQOMLRJLHOFFFB38CA,坡道平面,830000,34.35
RPTNMLPLKHOFFFB48CA,坡道平面,0,
RPPNMLOJLHOFFDB67CA,一樓平面,0,
RPTNMLOKKHOFFDB08CA,升降機械,0,
RPQRMLNKKHOFFDB08CA,坡道平面,1350000,23.32
RPRRMLNKKHOFFDB18CA,坡道平面,1450000,23.32
RPQOMLLLKHOFFFB87CA,坡道平面,0,36.72
RPVPMLLLKHOFFCB18CA,坡道機械,0,6.05
RPPNMLTKKHOFFCB08CA,坡道平面,0,
RPUOMLPKKHOFFCB28CA,坡道機械,0,
RPRPMLNKKHOFFCB87CA,坡道平面,0,
RPQPMLSKKHOFFCB28CA,坡道平面,0,32.17
RPQPMLSKKHOFFCB28CA,坡道平面,0,32.17
RPTPMLRLKHOFFBB48CA,坡道平面,0,
RPQQMLPKKHOFFCB08CA,坡道平面,1500000,31.77
RPOOMLRLKHOFFCB97CA,坡道平面,0,21.71
RPUOMLKLKHOFFBB77CA,坡道平面,0,38.22
RPRQMLLLKHOFFBB77CA,坡道平面,1150000,26.83
RPWQMLMKLHOFFBB38CA,坡道平面,0,
RPQQMLNKKHOFFBB77CA,升降機械,0,10.26
RPUNMLOKKHOFFBB97CA,坡道平面,0,24.92
RPUNMLOKKHOFFBB97CA,坡道平面,0,24.92
RPTOMLNKKHOFFBB87CA,坡道機械,0,
RPSOMLNKKHOFFBB77CA,坡道機械,0,19.89
RPOOMLNKKHOFFAB27CA,坡道機械,0,
RPUOMLKLKHOFFAB67CA,坡道平面,0,39.17
RPWOMLRLKHOFFAB58CA,坡道平面,850000,29.69
RPWOMLNKKHOFFAB08CA,坡道機械,0,
RPQPMLRLKHOFFAB08CA,坡道機械,0,12.60
RPVPMLSJLHOFFAB58CA,坡道平面,0,
RPVQMLTKKHOFFAB78CA,坡道機械,0,
RPSOMLTKKHOFFAB28CA,坡道平面,1150000,23.23
RPUOMLTKKHOFFAB48CA,坡道平面,1150000,23.23
RPOOMLOJLHOFFAB37CA,坡道平面,0,29.30
RPVQMLOKKHOFFBB38CA,坡道平面,1500000,30.08
RPVQMLOKKHOFFBB38CA,坡道平面,1500000,30.08
RPVQMLOKKHOFFBB38CA,坡道平面,1500000,30.08
RPPPMLPKKHOFFAB67CA,坡道平面,1300000,33.40
RPQPMLPKKHOFFAB77CA,坡道平面,0,33.40
RPQPMLPKKHOFFAB77CA,坡道平面,0,33.40
RPWQMLOKKHOFFBB48CA,坡道平面,0,25.95
RPWQMLOKKHOFFBB48CA,坡道平面,0,30.08
RPTPMLLLKHOFFBB87CA,坡道平面,0,30.89
RPQQMLPKKHOFFAB87CA,升降機械,0,
RPSQMLRLKHOFFBB48CA,坡道平面,0,
RPRNMLPKKHOFFCB87CA,坡道平面,0,17.85
RPUOMLPJLHOFFBB18CA,坡道機械,550000,13.24
RPPNMLRKKHOFFCB87CA,坡道機械,0,18.39
RPPNMLRKKHOFFCB87CA,坡道機械,0,18.39
RPXNMLQJLHOFFBB48CA,坡道平面,0,
RPSPMLTKKHOFFBB48CA,坡道平面,0,33.24
RPSPMLTKKHOFFBB48CA,坡道平面,0,31.64
RPVPMLTKKHOFFBB78CA,坡道平面,0,33.24
RPVPMLTKKHOFFBB78CA,坡道平面,0,33.24
RPWPMLTKKHOFFBB88CA,坡道平面,0,33.24
RPWPMLTKKHOFFBB88CA,坡道平面,0,33.24
RPQNMLQKKHOFFFB18CA,坡道平面,0,
RPPOMLPJLHOFFCB77CA,坡道平面,0,18.98
RPPOMLPJLHOFFCB77CA,坡道平面,0,13.56
RPUNMLQJLHOFFCB28CA,坡道平面,1250000,30.86
RPXNMLLJLHOFFCB08CA,坡道平面,1300000,22.90
RPPNMLPKKHOFFIB28CA,坡道平面,1100000,31.77
RPSNMLRJLHOFFJB88CA,坡道機械,0,
RPPNMLQLKHOFFIB48CA,坡道平面,0,
RPTNMLMLKHOFFAB87EA,坡道平面,0,
RPUNMLRJLHOFFHB98DA,升降機械,120000,6.05
RPRNMLNLKHOFFJB48CA,坡道機械,0,
RPUNMLOKLHOFFCB28DA,坡道機械,0,
RPSNMLOKLHOFFCB08DA,坡道機械,0,
RPVNMLMLKHOFFJB78CA,坡道平面,0,
RPXNMLNLKHOFFJB09CA,坡道機械,0,
RPTNMLLKLHOFFJB48CA,坡道平面,1500000,
RPQNMLRKKHOFFIB58CA,坡道機械,800000,
RPRPMLMKLHOFFIB48CA,坡道平面,0,32.86
RPRPMLMKLHOFFIB48CA,坡道平面,0,32.86
RPPPMLMKLHOFFIB28CA,坡道平面,0,32.86
RPSPMLMKLHOFFIB58CA,坡道平面,0,32.86
RPSPMLMKLHOFFIB58CA,坡道平面,0,32.86
