編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLOKKHOFFAD38CB,頂美段,20.52,都市：住
RPQOMLOKKHOFFAD87CB,頂美段,20.52,都市：住
RPRNMLPKKHOFFAD97CB,頂美段,13.68,都市：住
RPOOMLPKKHOFFAD77CB,頂美段,17.10,都市：住
RPWNMLPKKHOFFAD48CB,頂美段,17.10,都市：住
RPSOMLOKKHOFFAD08CB,頂美段,20.52,都市：住
RPXNMLPKKHOFFAD58CB,頂美段,17.10,都市：住
RPUOMLOKKHOFFAD28CB,頂美段,20.52,都市：住
RPROMLOKKHOFFAD97CB,頂美段,20.52,都市：住
RPUNMLPKKHOFFAD28CB,頂美段,17.10,都市：住
RPVOMLPKKHOFFAD48CB,頂美段,17.10,都市：住
RPTOMLPKKHOFFAD28CB,頂美段,16.79,都市：住
RPWOMLPKKHOFFAD58CB,頂美段,17.10,都市：住
RPUOMLPKKHOFFAD38CB,頂美段,17.10,都市：住
RPSOMLPKKHOFFAD18CB,頂美段,17.10,都市：住
RPXOMLPKKHOFFAD68CB,頂美段,16.79,都市：住
RPQOMLPKKHOFFAD97CB,頂美段,17.10,都市：住
RPROMLPKKHOFFAD08CB,頂美段,17.10,都市：住
RPPPMLPKKHOFFAD97CB,頂美段,16.79,都市：住
RPOPMLPKKHOFFAD87CB,頂美段,17.10,都市：住
RPRPMLPKKHOFFAD18CB,頂美段,17.10,都市：住
RPQPMLPKKHOFFAD08CB,頂美段,16.79,都市：住
RPSPMLPKKHOFFAD28CB,頂美段,17.10,都市：住
RPSOMLMLKHOFFAD97CB,頂美段,17.10,都市：住
RPTOMLMLKHOFFAD08CB,頂美段,18.34,都市：住
RPWOMLMLKHOFFAD38CB,頂美段,17.10,都市：住
RPVOMLMLKHOFFAD28CB,頂美段,16.79,都市：住
RPROMLMLKHOFFAD87CB,頂美段,16.79,都市：住
RPRPMLMLKHOFFAD97CB,頂美段,16.48,都市：住
RPXOMLMLKHOFFAD48CB,頂美段,17.10,都市：住
RPSPMLMLKHOFFAD08CB,頂美段,17.10,都市：住
RPTPMLMLKHOFFAD18CB,頂美段,17.10,都市：住
RPQQMLMLKHOFFAD97CB,頂美段,16.79,都市：住
RPWQMLMLKHOFFAD58CB,頂美段,17.10,都市：住
RPVQMLMLKHOFFAD48CB,頂美段,17.10,都市：住
RPSQMLMLKHOFFAD18CB,頂美段,17.10,都市：住
RPRQMLMLKHOFFAD08CB,頂美段,17.10,都市：住
RPOQMLMLKHOFFAD77CB,頂美段,17.10,都市：住
RPORMLMLKHOFFAD87CB,頂美段,17.10,都市：住
RPTQMLMLKHOFFAD28CB,頂美段,17.10,都市：住
RPQRMLMLKHOFFAD08CB,頂美段,17.10,都市：住
RPSRMLMLKHOFFAD28CB,頂美段,16.79,都市：住
RPPRMLMLKHOFFAD97CB,頂美段,16.79,都市：住
RPTRMLMLKHOFFAD38CB,頂美段,17.10,都市：住
RPURMLMLKHOFFAD48CB,頂美段,17.10,都市：住
RPPSMLMLKHOFFAD08CB,頂美段,15.54,都市：住
RPRSMLMLKHOFFAD28CB,頂美段,15.23,都市：住
RPTSMLMLKHOFFAD48CB,頂美段,15.85,都市：住
RPVRMLMLKHOFFAD58CB,頂美段,16.17,都市：住
RPSSMLMLKHOFFAD38CB,頂美段,15.85,都市：住
RPUSMLMLKHOFFAD58CB,頂美段,15.85,都市：住
RPVSMLMLKHOFFAD68CB,頂美段,15.85,都市：住
RPTNMLRLKHOFFAD48CB,頂美段,15.85,都市：住
RPSNMLRLKHOFFAD38CB,頂美段,15.85,都市：住
RPRNMLRLKHOFFAD28CB,頂美段,15.85,都市：住
RPXNMLRLKHOFFAD88CB,頂美段,15.85,都市：住
RPSOMLRLKHOFFAD48CB,頂美段,15.85,都市：住
RPPOMLRLKHOFFAD18CB,頂美段,15.85,都市：住
RPVOMLRLKHOFFAD78CB,頂美段,15.85,都市：住
RPUOMLRLKHOFFAD68CB,頂美段,15.85,都市：住
RPQOMLRLKHOFFAD28CB,頂美段,15.85,都市：住
RPXOMLRLKHOFFAD98CB,頂美段,15.85,都市：住
RPSPMLRLKHOFFAD58CB,頂美段,15.54,都市：住
RPVPMLRLKHOFFAD88CB,頂美段,15.54,都市：住
RPQOMLOKLHOFFAD97CB,頂美段,15.23,都市：住
RPOPMLOKLHOFFAD87CB,頂美段,15.85,都市：住
RPPOMLOKLHOFFAD87CB,頂美段,15.54,都市：住
RPWOMLOKLHOFFAD58CB,頂美段,15.85,都市：住
RPTNMLMKLHOFFAD97CB,頂美段,15.85,都市：住
RPROMLOKLHOFFAD08CB,頂美段,15.85,都市：住
RPQPMLRLKHOFFAD38CB,頂美段,15.85,都市：住
RPTPMLPKLHOFFAD48CB,頂美段,15.85,都市：住
RPQPMLOKLHOFFAD08CB,頂美段,15.54,都市：住
RPPPMLOKLHOFFAD97CB,頂美段,15.54,都市：住
RPQPMLPKLHOFFAD18CB,頂美段,15.85,都市：住
RPUPMLPKLHOFFAD58CB,頂美段,15.85,都市：住
RPPOMLKLLHOFFAD57CB,頂美段,15.85,都市：住
RPOOMLKLLHOFFAD47CB,頂美段,15.85,都市：住
RPVPMLPKLHOFFAD68CB,頂美段,15.85,都市：住
RPPPMLPKLHOFFAD08CB,頂美段,15.85,都市：住
RPQOMLKLLHOFFAD67CB,頂美段,15.54,都市：住
RPROMLKLLHOFFAD77CB,頂美段,15.54,都市：住
RPTOMLKLLHOFFAD97CB,頂美段,15.85,都市：住
RPQPMLKLLHOFFAD77CB,頂美段,15.85,都市：住
RPPPMLKLLHOFFAD67CB,頂美段,16.17,都市：住
RPRPMLKLLHOFFAD87CB,頂美段,16.17,都市：住
RPPOMLLLLHOFFAD67CB,頂美段,15.85,都市：住
RPXNMLLLLHOFFAD38CB,頂美段,16.17,都市：住
RPQOMLLLLHOFFAD77CB,頂美段,16.17,都市：住
RPROMLLLLHOFFAD87CB,頂美段,16.17,都市：住
RPOOMLLLLHOFFAD57CB,頂美段,16.17,都市：住
RPSOMLLLLHOFFAD97CB,頂美段,15.85,都市：住
RPSPMLKLLHOFFAD97CB,頂美段,16.17,都市：住
RPUOMLLLLHOFFAD18CB,頂美段,16.17,都市：住
RPVOMLLLLHOFFAD28CB,頂美段,16.48,都市：住
RPXQMLLLLHOFFAD68CB,頂美段,12.12,都市：住
RPSQMLLLLHOFFAD18CB,頂美段,16.48,都市：住
RPQQMLLLLHOFFAD97CB,頂美段,16.48,都市：住
RPUQMLLLLHOFFAD38CB,頂美段,12.43,都市：住
RPWOMLLLLHOFFAD38CB,頂美段,16.17,都市：住
RPWQMLLLLHOFFAD58CB,頂美段,12.12,都市：住
RPRRMLLLLHOFFAD18CB,頂美段,12.12,都市：住
RPORMLLLLHOFFAD87CB,頂美段,16.17,都市：住
