鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060720,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.6,2,1,1,有,無,8910000,78592,升降平面,30.86,1700000,,RPXTMLLKKHOFFBF09CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060714,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.51,2,1,1,有,無,8550000,76848,升降平面,29.77,1500000,,RPSUMLLKKHOFFBF68CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060726,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.6,2,1,1,有,無,8500000,75213,升降平面,30.86,1600000,,RPRVMLLKKHOFFBF68CB
五股區,房地(土地+建物),芳洲段241~270地號,14.24,住,,,1060807,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.07,1,1,1,有,無,5650000,83003,,0.0,0,,RPOWMLLKKHOFFBF48CB
五股區,房地(土地+建物),芳洲段241~270地號,14.24,住,,,1060802,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.07,1,1,1,有,無,5780000,84913,,0.0,0,,RPQWMLLKKHOFFBF68CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060809,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.51,2,1,1,有,無,8280000,73905,升降平面,29.77,1500000,,RPSWMLLKKHOFFBF88CB
五股區,房地(土地+建物),芳洲段241~270地號,18.92,住,,,1060824,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.74,2,1,1,有,無,7970000,86876,,0.0,0,,RPUWMLLKKHOFFBF09CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060829,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.6,2,1,1,有,無,8650000,76848,升降平面,30.86,1600000,,RPONNLLKKHOFFBF67CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060829,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.6,2,1,1,有,無,8650000,76848,升降平面,30.86,1600000,,RPPNNLLKKHOFFBF77CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,19.02,住,,,1060912,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.6,2,1,1,有,無,8780000,78265,升降平面,30.86,1600000,,RPQNMLMKKHOFFBF87CB
五股區,房地(土地+建物),芳洲段241~270地號,14.24,住,,,1060927,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,混凝土造,,68.07,1,1,1,有,無,5750000,84472,,0.0,0,,RPRNMLMKKHOFFBF97CB
五股區,房地(土地+建物),芳洲段241~270地號,14.24,住,,,1060929,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.07,1,1,1,有,無,5750000,84472,,0.0,0,,RPVNMLMKKHOFFBF38CB
五股區,房地(土地+建物),芳洲段241~270地號,14.24,住,,,1060929,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.07,1,1,1,有,無,6000000,88145,,0.0,0,,RPOOMLMKKHOFFBF77CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,14.33,住,,,1061031,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.93,1,1,1,有,無,6500000,71985,升降平面,30.86,1600000,,RPOPMLMKKHOFFBF87CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,23.88,住,,,1061115,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,2,1,1,有,無,10000000,73982,升降平面,30.86,1700000,,RPQQMLMKKHOFFBF18CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,23.88,住,,,1061020,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,143.05,2,1,1,有,無,10680000,80043,升降平面,30.86,1700000,,RPORMLMKKHOFFBF08CB
五股區,房地(土地+建物),芳洲段241~270地號,23.79,住,,,1061031,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.19,2,1,1,有,無,9500000,84678,,0.0,0,,RPTRMLMKKHOFFBF58CB
五股區,房地(土地+建物)+車位,芳洲段241~270地號,14.33,住,,,1061122,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.93,1,1,1,有,無,6730000,75364,升降平面,30.86,1600000,,RPURMLMKKHOFFBF68CB
土城區,房地(土地+建物),土城段541~570地號,15.15,住,,,1070325,土地3建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,89.95,2,2,1,有,無,10580000,117621,,0.0,0,,RPVQMLSKKHOFFAF56CB
土城區,房地(土地+建物),土城段571~600地號,13.06,住,,,1070626,土地3建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.13,2,1,1,有,無,9150000,120189,,0.0,0,,RPRNMLTKKHOFFAF58CB
土城區,房地(土地+建物),土城段541~570地號,13.06,住,,,1070419,土地3建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.13,2,2,1,有,無,9220000,121109,,0.0,0,,RPTNMLTKKHOFFAF78CB
土城區,房地(土地+建物)+車位,土城段541~570地號,14.37,住,,,1070513,土地3建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.49,2,1,1,有,無,11400000,121503,坡道平面,36.36,2150000,,RPUNMLTKKHOFFAF88CB
土城區,房地(土地+建物),土城段541~570地號,15.15,住,,,1070409,土地3建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,89.95,2,2,1,有,無,10580000,117621,,0.0,0,,RPXNMLTKKHOFFAF56CB
土城區,房地(土地+建物),土城段541~570地號,14.63,住,,,1070331,土地3建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.13,2,2,1,有,無,10220000,121479,,0.0,0,,RPOOMLTKKHOFFAF38CB
土城區,房地(土地+建物)+車位,土城段541~570地號,15.94,住,,,1070517,土地3建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.71,2,2,1,有,無,11700000,112913,坡道平面,36.36,1950000,,RPPOMLTKKHOFFAF48CB
