編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLNJMHOFFBJ38CB,家興段,44.52,都市：住
RPQNMLNJMHOFFBJ48CB,家興段,40.91,都市：住
RPWOMLNJMHOFFBJ56CB,家興段,44.76,都市：住
RPVNMLNJMHOFFBJ98CB,家興段,44.52,都市：住
RPTOMLNJMHOFFBJ88CB,家興段,42.84,都市：住
RPPOMLNJMHOFFBJ48CB,家興段,42.84,都市：住
RPOPMLNJMHOFFBJ48CB,家興段,44.52,都市：住
RPWNMLNJMHOFFBJ09CB,家興段,35.14,都市：住
RPROMLNJMHOFFBJ68CB,家興段,44.52,都市：住
RPSPMLNJMHOFFBJ88CB,家興段,44.52,都市：住
RPUNMLNJMHOFFBJ88CB,家興段,42.60,都市：住
RPRPMLNJMHOFFBJ78CB,家興段,35.62,都市：住
RPUOMLNJMHOFFBJ98CB,家興段,42.84,都市：住
RPQPMLNJMHOFFBJ68CB,家興段,44.76,都市：住
RPTPMLNJMHOFFBJ98CB,家興段,44.28,都市：住
RPWPMLNJMHOFFBJ66CB,家興段,35.62,都市：住
RPUPMLNJMHOFFBJ09CB,家興段,42.84,都市：住
RPXPMLNJMHOFFBJ76CB,家興段,44.52,都市：住
RPSQMLNJMHOFFBJ98CB,家興段,35.38,都市：住
RPVPMLNJMHOFFBJ56CB,家興段,35.62,都市：住
RPRQMLNJMHOFFBJ88CB,家興段,35.62,都市：住
RPVQMLNJMHOFFBJ66CB,家興段,44.28,都市：住
RPWQMLNJMHOFFBJ76CB,家興段,35.38,都市：住
RPXQMLNJMHOFFBJ86CB,家興段,57.76,都市：住
RPTQMLNJMHOFFBJ09CB,家興段,42.36,都市：住
RPXNMLMKMHOFFBJ56CB,家興段,35.62,都市：住
RPQQMLNJMHOFFBJ88DB,家興段,77.05,都市：住
RPOOMLMKMHOFFBJ38CB,家興段,42.60,都市：住
RPUQMLNJMHOFFBJ66DB,家興段,77.05,都市：住
RPRNMLTKMHOFFBJ66CB,家興段,56.07,都市：住
