編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLJMHOFFBK48CC,26,85.88,住家用,鋼筋混凝土造,82年6月26日,五層,
RPQNMLLJMHOFFBK48CC,26,12.35,見其他登記事項,鋼筋混凝土造,82年6月26日,七層,
RPQNMLLJMHOFFBK48CC,26,8.47,見其他登記事項,鋼筋混凝土造,82年6月26日,五層,
RPPOMLLKLHOFFBK48CC,57,243.00,商業用,加強磚造,50年10月23日,二層,
RPQOMLQLLHOFFBK66DC,32,90.00,住家用,鋼筋混凝土造,76年6月3日,五層,
RPPNMLQLLHOFFBK09DC,19,87.00,住家用,鋼筋混凝土造,88年12月6日,十二層,
RPSNMLPLKHOFFDK66CC,42,106.28,住家用,加強磚造,65年12月6日,二層,
RPUNMLRLLHOFFBK96CC,24,179.71,住家用,鋼筋混凝土造,84年2月15日,五層,
RPUNMLOJLHOFFDK66CC,6,260.19,住商用,鋼筋混凝土造,102年7月9日,五層,
RPQOMLPKLHOFFDK56CC,6,63.90,見其他登記事項,鋼筋混凝土造,101年10月23日,四層,
RPROMLOJLHOFFFK66CC,8,275.30,見其他登記事項,見其他登記事項,100年5月3日,三層,
RPRNMLTLLHOFFBK86CC,15,200.06,住商用,鋼筋混凝土造,93年6月10日,四層,
RPWNMLTKMHOFFBK37CC,,95.87,住家用,鋼筋混凝土造,107年12月5日,五層,
RPWNMLTKMHOFFBK37CC,,41.46,見其他登記事項,鋼筋混凝土造,107年12月5日,五層,
RPVNMLQJNHOFFDK17CC,,125.43,住工用,加強磚造,,二層,
RPQNMLTJMHOFFDK86CC,11,341.86,見其他登記事項,鋼筋混凝土造,96年11月20日,四層,
RPUNMLQJNHOFFBK96DC,19,96.00,住家用,鋼筋混凝土造,88年12月6日,十三層,
RPQNMLPKMHOFFBK98CC,26,48.93,住家用,鋼筋混凝土造,81年9月29日,,
RPSNMLNJMHOFFBK88CC,23,14.85,住家用,鋼筋混凝土造,85年5月20日,五層,
