編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLJMHOFFBK48CC,文峰段,23.19,都市：住
RPPOMLLKLHOFFBK48CC,苗栗段,147.00,都市：住
RPQOMLQLLHOFFBK66DC,苗栗段,28.00,都市：住
RPPNMLQLLHOFFBK09DC,苗栗段,14.00,都市：住
RPSNMLPLKHOFFDK66CC,龍鳳段,77.00,都市：住
RPUNMLRLLHOFFBK96CC,文山段,98.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLOJLHOFFDK66CC,龍富段,84.30,都市：住
RPQOMLPKLHOFFDK56CC,立達段,106.78,都市：住
RPROMLOJLHOFFFK66CC,仁愛段,70.89,都市：住
RPROMLOJLHOFFFK66CC,仁愛段,131.46,都市：住
RPRNMLTLLHOFFBK86CC,芒埔段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLTKMHOFFBK37CC,福麗段,92.96,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLQJNHOFFDK17CC,龍天段,134.53,都市：工
RPVNMLQJNHOFFDK17CC,龍天段,133.00,都市：工
RPVNMLQJNHOFFDK17CC,龍天段,133.00,都市：工
RPQNMLTJMHOFFDK86CC,龍天段,132.89,都市：工
RPQNMLTJMHOFFDK86CC,龍天段,51.23,都市：工
RPUNMLQJNHOFFBK96DC,苗栗段,15.00,都市：住
RPQNMLPKMHOFFBK98CC,華清段,.00,都市：住
RPSNMLNJMHOFFBK88CC,苗栗段,5.41,都市：住
