編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLPKKHOFFAO76CA,金山段,84.36,都市：住
RPRNMLNKKHOFFAO78CA,民富段,53.92,都市：住
RPRNMLNKKHOFFAO78CA,民富段,4.66,都市：住
RPUNMLPKKHOFFAO66CA,民富段,19.56,都市：商
RPRNMLOKKHOFFAO88CA,中雅段,19.03,都市：商
RPRNMLOKKHOFFAO88CA,崙子段,.41,都市：商
RPUQMLOKKHOFFAO86CA,東光段,19.79,都市：商
RPWOMLSKKHOFFAO27CA,光華段,19.20,都市：住
RPTQMLOKKHOFFAO76CA,忠孝段,29.89,都市：住
RPXRMLMKKHOFFAO07CA,水源段,89.99,非都市：特定農業區 ; 非都市編定：農牧用地
RPXRMLMKKHOFFAO07CA,水源段,28.52,非都市：特定農業區 ; 非都市編定：農牧用地
RPXRMLMKKHOFFAO07CA,水源段,29.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPXRMLMKKHOFFAO07CA,水源段,51.71,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLMLKHOFFAO09CA,和平段,28.23,都市：住
RPUNMLMLKHOFFAO09CA,和平段,5.20,都市：住
RPRNMLQKKHOFFAO09CA,民主段,116.00,都市：住
RPTOMLSKKHOFFAO96CA,東濱段,149.26,都市：住
RPTOMLSKKHOFFAO96CA,東濱段,114.99,都市：住
RPTOMLSKKHOFFAO96CA,東濱段,114.99,都市：住
RPUNMLNKKHOFFAO66EA,北門段,26.36,都市：住
RPUNMLNKKHOFFAO66EA,北門段,3.41,都市：其他
RPUNMLOKKHOFFAO66DA,忠孝段,119.00,都市：住
RPOPMLOKKHOFFAO78CA,東山段一小段,20.61,都市：其他
RPXNMLOKKHOFFAO86CA,中央段,52.50,都市：商
RPTPMLOKKHOFFAO66CA,武陵段,11.23,都市：住
RPTPMLOKKHOFFAO66CA,武陵段,11.49,都市：住
RPRQMLOKKHOFFAO56CA,民主段一小段,2.77,都市：商
RPVOMLLLKHOFFAO56CA,復中段,32.40,都市：住
RPWOMLLLKHOFFAO86EA,唐高段,11.00,都市：住
RPWOMLLLKHOFFAO86EA,唐高段,55.00,都市：住
