編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPKKHOFFAX37CA,26,159.53,住家用,鋼筋混凝土造,82年1月15日,四層,一層 二層 三層 四層 電梯樓梯間
RPSNMLPKKHOFFAX37CA,26,69.97,見其他登記事項,鋼筋混凝土造,82年1月15日,四層,
RPXNMLRJNHOFFAX28CA,18,376.44,住家用,鋼筋混凝土造,90年7月4日,四層,一層 二層 三層 四層
RPXNMLPKKHOFFAX87CA,52,9.94,住家用,見其他登記事項,55年9月19日,一層,一層
RPQNMLSJNHOFFAX67CA,22,56.30,住家用,鋼筋混凝土造,85年8月28日,十二層,九層
RPQNMLSJNHOFFAX67CA,22,15.11,見其他登記事項,鋼筋混凝土造,85年8月28日,十二層,
RPRNMLNKKHOFFAX17DA,95,49.80,住家用,見其他登記事項,13年1月1日,一層,一層
RPPNMLRLKHOFFAX37CA,26,140.43,住家用,鋼筋混凝土造,81年11月28日,七層,七層
RPPNMLRLKHOFFAX37CA,26,2.85,見其他登記事項,鋼筋混凝土造,81年11月28日,七層,
RPQNMLKLKHOFFAX76CA,48,88.00,住家用,見其他登記事項,60年5月6日,二層,一層 二層
RPSNMLTKKHOFFAX77CA,37,122.72,住家用,鋼筋混凝土加強磚造,70年10月1日,三層,一層 二層 三層
RPRNMLNLKHOFFAX27DA,49,243.16,住商用,鋼筋混凝土加強磚造,58年12月20日,四層,一層 二層 三層 四層
RPVNMLLLKHOFFAX37CA,12,206.94,住家用,鋼筋混凝土造,95年8月30日,四層,一層 二層 三層 四層
RPQNMLOKLHOFFAX17CA,4,226.08,住家用,鋼筋混凝土造,104年6月24日,三層,一層 二層 三層
RPSNMLTKLHOFFAX08EA,29,290.84,住商用,鋼筋混凝土造,79年6月4日,三層,一層 二層 三層 電梯樓梯間 夾層 地下一層
RPWNMLMLKHOFFAX67DA,1,195.92,住家用,鋼筋混凝土造,106年9月27日,三層,一層 二層 三層
RPSNMLRLKHOFFAX67CA,2,263.19,住家用,鋼筋混凝土造,105年9月21日,三層,一層 二層 三層
RPQNMLQJLHOFFAX27CA,39,86.05,住家用,鋼筋混凝土加強磚造,69年6月28日,二層,一層 二層 電梯樓梯間
RPPNMLSJLHOFFAX37CA,14,225.47,住商用,鋼筋混凝土造,94年8月11日,三層,一層 二層 三層 電梯樓梯間
RPUNMLRLKHOFFAX87CA,40,188.28,住家用,鋼筋混凝土加強磚造,68年5月12日,四層,一層 二層 三層 四層 地下層
RPPNMLMJLHOFFAX76CA,40,80.00,住家用,鋼筋混凝土加強磚造,67年8月19日,二層,一層 二層 電梯樓梯間
RPSNMLRJLHOFFAX57CA,26,179.86,住家用,鋼筋混凝土造,81年11月20日,三層,一層 二層 三層
RPPNMLNKLHOFFAX96CA,,676.52,見其他登記事項,鋼筋混凝土造,108年1月11日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPRNMLRJLHOFFAX47CA,56,69.73,住商用,鋼筋混凝土加強空心磚造,51年8月10日,二層,一層 二層
RPPNMLSKLHOFFAX47CA,22,53.15,住家用,鋼筋混凝土造,85年8月28日,十二層,四層
RPPNMLSKLHOFFAX47CA,22,16.18,見其他登記事項,鋼筋混凝土造,85年8月28日,十二層,
RPRNMLSJNHOFFAX77CA,26,159.04,住家用,鋼筋混凝土造,82年3月17日,七層,七層
RPRNMLSJNHOFFAX77CA,26,31.25,見其他登記事項,鋼筋混凝土造,82年3月17日,七層,
RPUNMLSJLHOFFAX87CA,1,375.24,見其他登記事項,鋼筋混凝土造,107年7月3日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLNKLHOFFAX37DA,24,122.82,見其他登記事項,鋼筋混凝土造,84年1月19日,五層,四層
RPSNMLNKLHOFFAX37DA,24,14.62,見其他登記事項,鋼筋混凝土造,84年1月19日,五層,
RPQNMLNKLHOFFAX07CA,23,134.06,住家用,鋼筋混凝土加強磚造,84年6月28日,二層,一層 二層 電梯樓梯間
RPRNMLSKLHOFFAX67CA,94,3.92,住家用,見其他登記事項,14年1月1日,一層,一層
RPQNMLMLLHOFFAX17DA,35,108.28,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,五層 電梯樓梯間
RPPNMLPLLHOFFAX27CA,40,79.56,住家用,鋼筋混凝土加強磚造,67年11月22日,二層,一層 二層 電梯樓梯間
RPUNMLLLLHOFFAX37CA,48,71.00,住家用,見其他登記事項,60年2月18日,一層,一層
RPPNMLSJMHOFFAX47CA,,101.91,住家用,見其他登記事項,,一層,一層
RPSNMLRLLHOFFAX77CA,13,211.41,住家用,鋼筋混凝土造,95年9月14日,三層,一層 二層 三層 見其他登記事項
RPQNMLQLLHOFFAX57DA,,246.86,住家用,鋼筋混凝土造,108年1月18日,三層,一層 二層 三層
RPPNMLSLLHOFFAX57CA,25,110.51,住家用,鋼筋混凝土造,82年11月19日,七層,二層
RPPNMLSLLHOFFAX57CA,25,19.98,見其他登記事項,鋼筋混凝土造,82年11月19日,七層,
