編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOPMLTKOHOFFAA38CB,其他,2200000,36.17
RPPPMLTKOHOFFAA48CB,其他,2200000,36.17
RPQPMLTKOHOFFAA58CB,其他,2200000,36.17
RPXOMLTKOHOFFAA56CB,其他,2200000,36.17
RPOOMLOJOHOFFBA77CB,坡道平面,3100000,27.10
RPRPMLTKOHOFFAA68CB,其他,2200000,36.17
RPROMLOJOHOFFBA08CB,坡道平面,2800000,27.10
RPXNMLOJOHOFFBA58CB,坡道平面,2450000,27.10
RPTPMLKLOHOFFAA08CB,其他,2200000,36.17
RPSPMLKLOHOFFAA97CB,其他,2200000,36.17
RPUPMLKLOHOFFAA18CB,其他,2200000,36.17
RPRPMLKLOHOFFAA87CB,其他,2200000,36.17
RPQPMLKLOHOFFAA77CB,其他,2200000,36.17
RPWNMLOJPHOFFAA48CB,坡道平面,1950000,34.55
RPXNMLOJPHOFFAA58CB,坡道平面,2150000,34.55
RPVNMLOJPHOFFAA38CB,坡道平面,2300000,34.55
RPQOMLOJPHOFFAA97CB,坡道平面,2000000,34.55
RPOOMLOJPHOFFAA77CB,坡道平面,2150000,34.55
RPPOMLOJPHOFFAA87CB,坡道平面,1850000,34.55
RPXOMLOJPHOFFAA68CB,坡道平面,2300000,34.55
RPROMLOJPHOFFAA08CB,坡道平面,1950000,34.55
RPTOMLOJPHOFFAA28CB,坡道平面,2150000,34.55
RPSOMLOJPHOFFAA18CB,坡道平面,2150000,34.55
RPPPMLOJPHOFFAA97CB,坡道平面,2300000,34.55
RPRPMLOJPHOFFAA18CB,坡道平面,2300000,34.55
RPQPMLOJPHOFFAA08CB,坡道平面,2200000,34.55
RPSPMLOJPHOFFAA28CB,坡道平面,2150000,34.55
RPSPMLOJPHOFFAA28CB,坡道平面,2150000,34.55
RPWPMLOJPHOFFAA68CB,坡道平面,1700000,29.75
RPTPMLOJPHOFFAA38CB,坡道平面,1850000,34.55
RPQQMLOJPHOFFAA18CB,坡道平面,1850000,34.55
RPPQMLOJPHOFFAA08CB,坡道平面,2300000,34.55
RPUPMLOJPHOFFAA48CB,坡道平面,1850000,34.55
RPUPMLOJPHOFFAA48CB,坡道平面,1850000,34.55
RPOQMLOJPHOFFAA97CB,坡道平面,2300000,34.55
RPVPMLOJPHOFFAA58CB,坡道平面,2000000,34.55
RPXPMLOJPHOFFAA78CB,坡道平面,2150000,34.55
RPRPMLSKPHOFFAA68CB,其他,2200000,36.17
RPUOMLSKPHOFFAA88CB,其他,2200000,36.17
RPWOMLSKPHOFFAA09CB,其他,2200000,36.17
RPQPMLSKPHOFFAA58CB,其他,2200000,36.17
RPQOMLSKPHOFFAA48CB,其他,2200000,36.17
RPWNMLSKPHOFFAA98CB,其他,2200000,36.17
RPVNMLSKPHOFFAA88CB,其他,2200000,36.17
RPUOMLTLPHOFFCA66CB,坡道平面,3300000,30.86
RPXNMLSKPHOFFAA09CB,其他,2200000,36.17
RPTOMLSKPHOFFAA78CB,其他,2200000,36.17
RPVOMLTLPHOFFCA76CB,坡道平面,3000000,30.86
RPXOMLTLPHOFFCA96CB,坡道平面,3700000,30.86
RPOPMLTLPHOFFCA78CB,坡道平面,3500000,30.86
RPSOMLLJQHOFFFA48CB,坡道平面,3250000,40.35
