編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXPMLOKNHOFFAB68CA,45,57.71,住家用,鋼筋混凝土造,63年5月4日,三層,三層
RPXPMLOKNHOFFAB68CA,45,6.63,見其他登記事項,鋼筋混凝土造,63年5月4日,三層,地下層
RPTOMLNKNHOFFAB08CA,19,58.81,住家用,鋼筋混凝土造,89年5月18日,十四層,九層
RPTOMLNKNHOFFAB08CA,19,44.11,共有部份,鋼筋混凝土造,89年5月18日,十四層,
RPUPMLKLNHOFFAB08CA,3,84.10,見其他登記事項,鋼筋混凝土造,105年9月22日,十一層,十一層
RPUPMLKLNHOFFAB08CA,3,56.52,見其他登記事項,鋼筋混凝土造,105年9月22日,十一層,
RPUPMLKLNHOFFAB08CA,3,15.53,見其他登記事項,鋼筋混凝土造,105年9月22日,十一層,
RPWPMLPKNHOFFAB68CA,40,74.94,住家用,鋼筋混凝土造,68年5月17日,五層,五層
RPSOMLPKNHOFFAB18CA,26,74.96,住家用,鋼筋混凝土造,82年10月6日,七層,二層
RPSOMLPKNHOFFAB18CA,26,19.97,共有部份,鋼筋混凝土造,82年10月6日,七層,
RPPNMLPKNHOFFAB77CA,26,19.71,住家用,鋼筋混凝土造,82年5月1日,七層,四層
RPPNMLPKNHOFFAB77CA,26,9.81,共有部份,鋼筋混凝土造,82年5月1日,七層,
RPRNMLTKNHOFFAB38CA,40,117.23,見其他登記事項,鋼筋混凝土造,68年5月15日,五層,五層
RPVNMLMLNHOFFAB18CA,24,124.30,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,九層
RPVNMLMLNHOFFAB18CA,24,24.21,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,
RPVNMLMLNHOFFAB18CA,24,29.93,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,
RPVNMLMLNHOFFAB18CA,24,14.59,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,地下二層
RPVNMLMLNHOFFAB18CA,24,2.51,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,
RPTNMLRKNHOFFAB38CA,24,95.34,住家用,鋼筋混凝土造,83年12月28日,十五層,十一層
RPTNMLRKNHOFFAB38CA,24,43.98,共有部份,鋼筋混凝土造,83年12月28日,十五層,
RPTNMLRKNHOFFAB38CA,24,14.96,共有部份,鋼筋混凝土造,83年12月28日,十五層,
