編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLOKNHOFFBC87CA,坡道平面,550000,40.41
RPQNMLPKNHOFFBC08CA,坡道平面,0,24.17
RPUPMLNJOHOFFCC58CA,坡道平面,0,
RPSNMLQKNHOFFCC48CA,坡道平面,0,
RPPNMLTLNHOFFBC48CA,坡道平面,0,29.77
RPQOMLKMNHOFFCC97CA,坡道平面,1200000,30.04
RPRNMLRKNHOFFBC38CA,坡道平面,800000,34.17
RPUNMLRLNHOFFCC88CA,坡道機械,0,
RPQPMLNLNHOFFCC28CA,坡道平面,0,
RPXNMLQJOHOFFBC88CA,坡道平面,1200000,35.96
RPTNMLQJOHOFFBC48CA,坡道平面,1000000,35.96
RPWNMLQJOHOFFBC78CA,坡道平面,1050000,35.96
RPUNMLQJOHOFFBC58CA,坡道平面,1200000,35.96
RPVNMLQJOHOFFBC68CA,坡道平面,1050000,35.96
RPSOMLQJOHOFFBC48CA,坡道平面,1150000,31.21
RPPOMLQJOHOFFBC18CA,坡道平面,1200000,35.96
RPOOMLQJOHOFFBC08CA,坡道平面,1050000,35.96
RPQOMLQJOHOFFBC28CA,坡道平面,1200000,35.96
RPUOMLQJOHOFFBC68CA,坡道平面,950000,31.21
RPTOMLQJOHOFFBC58CA,坡道平面,1150000,31.21
RPXOMLQJOHOFFBC98CA,坡道平面,1000000,35.96
RPPPMLQJOHOFFBC28CA,坡道平面,1050000,35.96
RPQPMLQJOHOFFBC38CA,坡道平面,1050000,35.96
RPPQMLLKOHOFFBC97CA,坡道平面,0,38.04
RPPQMLLKOHOFFBC97CA,坡道平面,0,38.04
RPTNMLOLNHOFFBC38CA,坡道平面,0,
RPQNMLRKNHOFFBC28CA,坡道平面,0,34.47
RPVNMLRKNHOFFCC88CA,坡道平面,0,31.42
RPSNMLKKOHOFFBC87CA,坡道平面,1150000,31.21
RPUNMLKKOHOFFBC08CA,坡道平面,950000,31.21
RPVNMLKMNHOFFCC38CA,坡道平面,0,
RPSNMLRLNHOFFCC68CA,坡道平面,1650000,32.55
RPRNMLRLNHOFFCC58CA,坡道平面,1200000,33.36
RPQNMLLLNHOFFCC87CA,坡道平面,1000000,13.47
RPQNMLRLNHOFFCC48CA,坡道平面,1200000,33.36
RPRNMLNLNHOFFCC18CA,坡道平面,1200000,33.36
RPTNMLNLNHOFFCC38CA,坡道平面,1200000,33.36
RPUNMLNLNHOFFCC48CA,坡道平面,1200000,33.36
