編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLNKNHOFFAD58CC,26,176.55,商業用,鋼筋混凝土造,81年11月18日,七層,
RPVNMLNKNHOFFAD58CC,26,34.17,共有部分,鋼筋混凝土造,81年11月18日,七層,
RPVNMLOKNHOFFKD07CC,24,47.80,住家用,鋼筋混凝土構造,84年5月11日,十四層,
RPVNMLOKNHOFFKD07CC,24,9.72,共有部分,鋼筋混凝土構造,84年5月11日,十四層,
RPVNMLOKNHOFFKD07CC,24,10.73,共有部分,鋼筋混凝土構造,84年5月11日,十四層,
RPXNMLOKNHOFFKD27CC,27,52.62,住家用,鋼筋混凝土構造,81年3月9日,六層,
RPXNMLOKNHOFFKD27CC,27,15.54,共有部分,鋼筋混凝土構造,81年3月9日,六層,
RPPNMLPKNHOFFGD88DC,7,204.95,住家用,鋼筋混凝土構造,101年7月5日,三層,
RPSOMLOKNHOFFCD68CC,25,41.62,住家用,鋼筋混凝土構造,83年2月8日,八層,
RPSOMLOKNHOFFCD68CC,25,8.71,共有部分,鋼筋混凝土構造,83年2月8日,八層,
RPSOMLOKNHOFFCD68CC,25,10.12,共有部分,鋼筋混凝土構造,83年2月8日,八層,
RPSNMLOKNHOFFKD76CC,26,196.17,住商用,鋼筋混凝土構造,81年11月5日,五層,
RPUNMLNKNHOFFKD86CC,23,91.96,見其他登記事項,鋼筋混凝土構造,85年1月29日,十七層,
RPUNMLNKNHOFFKD86CC,23,10.98,共有部分,鋼筋混凝土構造,85年1月29日,十七層,
RPUNMLNKNHOFFKD86CC,23,6.42,共有部分,鋼筋混凝土構造,85年1月29日,十七層,
RPUNMLNKNHOFFKD86CC,23,2.30,見其他登記事項,鋼筋混凝土構造,85年1月29日,十七層,
RPUNMLNKNHOFFKD86CC,23,29.98,共有部分,鋼筋混凝土構造,85年1月29日,十七層,
RPUNMLPKNHOFFCD88CC,1,114.98,見其他登記事項,鋼筋混凝土構造,107年1月12日,五層,
RPVNMLPKNHOFFCD09DC,34,127.44,住家用,鋼筋混凝土構造,74年6月29日,二層,
RPTNMLQKNHOFFBD78CC,26,947.76,住商用,鐵造,82年10月16日,二層,
RPQOMLOKNHOFFBD38CC,28,213.07,住商用,鋼筋混凝土構造,80年5月13日,三層,
RPTOMLNKNHOFFBD58CC,8,59.78,住家用,鋼筋混凝土構造,100年10月25日,四層,
RPWNMLQKNHOFFCD56CC,15,46.34,住家用,見其他登記事項,93年7月12日,十四層,
RPWNMLQKNHOFFCD56CC,15,10.04,共有部分,見其他登記事項,93年7月12日,十四層,
RPWNMLQKNHOFFCD56CC,15,32.97,共有部分,見其他登記事項,93年7月12日,十四層,
RPUNMLQKNHOFFBD88CC,25,170.67,住家用,鋼筋混凝土構造,83年1月28日,三層,
RPUNMLQKNHOFFKD17CC,39,67.27,住家用,鋼筋混凝土構造,69年7月4日,四層,
RPUNMLQKNHOFFKD17CC,39,5.89,共有部分,鋼筋混凝土構造,69年7月4日,,
RPWNMLQKNHOFFKD37CC,24,50.61,住商用,鋼筋混凝土構造,84年2月20日,五層,
RPXNMLQKNHOFFKD47CC,24,65.13,住商用,鋼筋混凝土構造,84年2月20日,五層,
RPVNMLRKNHOFFKD37CC,20,124.95,住商用,鋼筋混凝土構造,88年5月19日,十四層,
RPVNMLRKNHOFFKD37CC,20,28.61,共有部分,鋼筋混凝土構造,88年5月19日,十四層,
RPQNMLQKNHOFFAD38CC,2,97.43,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPQNMLQKNHOFFAD38CC,2,1.02,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPOOMLQKNHOFFKD66CC,25,30.03,住家用,鋼筋混凝土構造,82年12月30日,九層,
RPOOMLQKNHOFFKD66CC,25,22.55,共有部分,鋼筋混凝土構造,82年12月30日,九層,
RPWNMLQKNHOFFAD98CC,1,85.83,見其他登記事項,見其他登記事項,107年9月21日,二十九層,
RPWNMLQKNHOFFAD98CC,1,62.11,見其他登記事項,見其他登記事項,107年9月21日,二十九層,
RPVOMLPKNHOFFAD88CC,16,109.85,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPVOMLPKNHOFFAD88CC,16,38.30,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPVOMLPKNHOFFAD88CC,16,20.83,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPVOMLPKNHOFFAD88CC,16,.10,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPVOMLPKNHOFFAD88CC,16,.33,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPVOMLPKNHOFFAD88CC,16,.00,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPVOMLPKNHOFFAD88CC,16,.01,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPSPMLRKNHOFFCD09CC,36,86.12,見其他登記事項,鋼筋混凝土構造,71年11月29日,五層,
RPSPMLRKNHOFFCD09CC,36,6.30,共有部分,鋼筋混凝土構造,71年11月29日,五層,
RPXOMLRKNHOFFCD86CC,39,87.94,住家用,鋼筋混凝土構造,69年7月26日,五層,
RPXOMLRKNHOFFCD86CC,39,13.28,共有部分,鋼筋混凝土構造,69年7月26日,五層,
RPUOMLRKNHOFFCD56CC,11,31.31,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPUOMLRKNHOFFCD56CC,11,35.59,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPUOMLRKNHOFFCD56CC,11,10.19,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPPPMLRKNHOFFCD78CC,36,87.02,見其他登記事項,鋼筋混凝土構造,72年4月22日,五層,
RPPPMLRKNHOFFCD78CC,36,6.22,共有部分,鋼筋混凝土構造,72年4月22日,五層,
RPPOMLNLNHOFFCD38CC,36,87.02,見其他登記事項,鋼筋混凝土構造,72年8月3日,五層,
RPPOMLNLNHOFFCD38CC,36,6.23,共有部分,鋼筋混凝土構造,72年8月3日,五層,
RPXOMLNLNHOFFCD56CC,12,229.96,見其他登記事項,鋼筋混凝土構造,96年3月14日,四層,
RPUNMLNLNHOFFAD58CC,20,101.72,見其他登記事項,鋼筋混凝土造,88年7月30日,十層,
RPUNMLNLNHOFFAD58CC,20,13.78,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPUNMLNLNHOFFAD58CC,20,15.32,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPUNMLNLNHOFFAD58CC,20,7.90,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPROMLNLNHOFFAD38CC,39,34.43,住商用,鋼筋混凝土造,69年9月3日,五層,
RPUNMLLLNHOFFHD09CC,23,205.83,住商用,鋼筋混凝土構造,85年3月15日,四層,
RPTNMLNLNHOFFHD56CC,1,175.01,見其他登記事項,鋼筋混凝土構造,107年8月14日,四層,
RPPOMLOLNHOFFHD98CC,6,19.22,見其他登記事項,鋼筋混凝土構造,101年12月5日,四層,
RPUNMLKLNHOFFDD58CC,41,81.76,住家用,加強磚造,67年6月21日,四層,
