編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVOMLMKOHOFFCE88CB,fdbf莊段,10.00,都市：商
RPOPMLMKOHOFFCE28CB,fdbf莊段,10.22,都市：商
RPQPMLMKOHOFFCE48CB,fdbf莊段,10.22,都市：商
RPWQMLMKOHOFFCE56CB,fdbf莊段,10.00,都市：商
RPRPMLMKOHOFFCE58CB,fdbf莊段,10.22,都市：商
RPWNMLMKOHOFFCE88CB,fdbf莊段,10.00,都市：商
RPUNMLMKOHOFFCE68CB,fdbf莊段,10.00,都市：商
RPXNMLMKOHOFFCE98CB,fdbf莊段,10.00,都市：商
RPQOMLMKOHOFFCE38CB,fdbf莊段,10.00,都市：商
RPROMLNKOHOFFCE58CB,fdbf莊段,10.22,都市：商
RPSOMLNKOHOFFCE68CB,fdbf莊段,10.22,都市：商
RPORMLMKOHOFFCE48CB,fdbf莊段,12.67,都市：商
RPTOMLMKOHOFFCE68CB,fdbf莊段,10.22,都市：商
RPTOMLNKOHOFFCE78CB,fdbf莊段,12.67,都市：商
RPUOMLNKOHOFFCE88CB,fdbf莊段,12.67,都市：商
RPWOMLNKOHOFFCE09CB,fdbf莊段,12.67,都市：商
RPOPMLNKOHOFFCE38CB,fdbf莊段,12.67,都市：商
RPVPMLSKOHOFFCE96CB,fdbf莊段,12.67,都市：商
RPORMLSKOHOFFCE09CB,fdbf莊段,12.67,都市：商
RPSRMLSKOHOFFCE86CB,fdbf莊段,12.67,都市：商
RPUNMLTKOHOFFCE76CB,fdbf莊段,12.67,都市：商
RPWNMLTKOHOFFCE96CB,fdbf莊段,9.78,都市：商
RPUOMLTKOHOFFCE86CB,fdbf莊段,9.78,都市：商
RPVOMLTKOHOFFCE96CB,fdbf莊段,9.78,都市：商
RPXOMLTKOHOFFCE17CB,fdbf莊段,9.55,都市：商
RPOPMLTKOHOFFCE98CB,fdbf莊段,9.55,都市：商
RPOPMLKLOHOFFCE18CB,fdbf莊段,9.78,都市：商
RPXOMLKLOHOFFCE98CB,fdbf莊段,12.67,都市：商
RPRPMLKLOHOFFCE48CB,fdbf莊段,9.78,都市：商
RPPQMLKLOHOFFCE38CB,fdbf莊段,9.33,都市：商
RPXPMLKLOHOFFCE09CB,fdbf莊段,9.55,都市：商
RPUOMLLLOHOFFCE78CB,fdbf莊段,9.33,都市：商
RPSPMLLLOHOFFCE68CB,fdbf莊段,9.33,都市：商
RPTPMLLLOHOFFCE78CB,fdbf莊段,9.55,都市：商
RPXPMLLLOHOFFCE56CB,fdbf莊段,9.33,都市：商
RPVPMLLLOHOFFCE98CB,fdbf莊段,9.55,都市：商
RPRQMLLLOHOFFCE68CB,fdbf莊段,9.55,都市：商
RPOQMLLLOHOFFCE38CB,fdbf莊段,17.55,都市：商
RPSQMLLLOHOFFCE78CB,fdbf莊段,9.33,都市：商
RPTQMLLLOHOFFCE88CB,fdbf莊段,9.55,都市：商
RPQQMLLLOHOFFCE58CB,fdbf莊段,9.55,都市：商
RPWQMLLLOHOFFCE56CB,fdbf莊段,13.33,都市：商
RPXQMLLLOHOFFCE66CB,fdbf莊段,13.33,都市：商
RPUQMLLLOHOFFCE98CB,fdbf莊段,13.33,都市：商
RPORMLLLOHOFFCE48CB,fdbf莊段,13.33,都市：商
RPPRMLLLOHOFFCE58CB,fdbf莊段,13.33,都市：商
RPWNMLOLOHOFFCE56CB,fdbf莊段,13.33,都市：商
RPUNMLOLOHOFFCE98CB,fdbf莊段,13.33,都市：商
RPXOMLOLOHOFFCE76CB,fdbf莊段,13.33,都市：商
RPXNMLOLOHOFFCE66CB,fdbf莊段,13.33,都市：商
RPRNMLOLOHOFFCE68CB,fdbf莊段,9.55,都市：商
RPSNMLOLOHOFFCE78CB,fdbf莊段,9.33,都市：商
RPWPMLPLOHOFFCE86CB,fdbf莊段,13.11,都市：商
RPPQMLPLOHOFFCE88CB,fdbf莊段,13.33,都市：商
RPRQMLPLOHOFFCE09CB,fdbf莊段,10.22,都市：商
RPXPMLPLOHOFFCE96CB,fdbf莊段,13.33,都市：商
RPORMLPLOHOFFCE88CB,fdbf莊段,10.22,都市：商
RPRRMLPLOHOFFCE56CB,fdbf莊段,10.22,都市：商
RPSQMLPLOHOFFCE56CB,fdbf莊段,10.00,都市：商
RPWQMLPLOHOFFCE96CB,fdbf莊段,10.00,都市：商
RPQQMLPLOHOFFCE98CB,fdbf莊段,16.89,都市：商
RPTQMLPLOHOFFCE66CB,fdbf莊段,10.22,都市：商
RPTRMLPLOHOFFCE76CB,fdbf莊段,10.22,都市：商
RPURMLPLOHOFFCE86CB,fdbf莊段,14.44,都市：商
RPPSMLPLOHOFFCE09CB,fdbf莊段,9.55,都市：商
RPOSMLPLOHOFFCE98CB,fdbf莊段,9.55,都市：商
RPVRMLPLOHOFFCE96CB,fdbf莊段,9.78,都市：商
RPWRMLPLOHOFFCE07CB,fdbf莊段,9.55,都市：商
RPXRMLPLOHOFFCE17CB,fdbf莊段,9.55,都市：商
RPQSMLPLOHOFFCE56CB,fdbf莊段,9.55,都市：商
RPSSMLPLOHOFFCE76CB,fdbf莊段,9.55,都市：商
RPTSMLPLOHOFFCE86CB,fdbf莊段,9.78,都市：商
RPRSMLPLOHOFFCE66CB,fdbf莊段,9.55,都市：商
RPUSMLPLOHOFFCE96CB,fdbf莊段,9.78,都市：商
RPWSMLPLOHOFFCE17CB,fdbf莊段,9.78,都市：商
RPOTMLPLOHOFFCE09CB,fdbf莊段,14.89,都市：商
RPXSMLPLOHOFFCE27CB,fdbf莊段,9.55,都市：商
RPVSMLPLOHOFFCE07CB,fdbf莊段,9.78,都市：商
RPWNMLQLOHOFFCE76CB,fdbf莊段,9.55,都市：商
RPXNMLQLOHOFFCE86CB,fdbf莊段,9.33,都市：商
RPQOMLQLOHOFFCE88CB,fdbf莊段,9.33,都市：商
RPSOMLQLOHOFFCE09CB,fdbf莊段,9.33,都市：商
RPTOMLQLOHOFFCE56CB,fdbf莊段,9.33,都市：商
RPPOMLQLOHOFFCE78CB,fdbf莊段,9.33,都市：商
RPROMLQLOHOFFCE98CB,fdbf莊段,9.33,都市：商
RPWOMLQLOHOFFCE86CB,fdbf莊段,9.55,都市：商
