編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOPMLMKOHOFFCE28CB,坡道平面,1150000,40.96
RPQPMLMKOHOFFCE48CB,坡道平面,1250000,40.96
RPRPMLMKOHOFFCE58CB,坡道平面,1150000,40.96
RPROMLNKOHOFFCE58CB,坡道平面,1250000,42.21
RPSOMLNKOHOFFCE68CB,坡道平面,1050000,40.96
RPORMLMKOHOFFCE48CB,坡道平面,1150000,40.96
RPTOMLMKOHOFFCE68CB,坡道平面,1050000,40.96
RPTOMLNKOHOFFCE78CB,坡道平面,1100000,40.96
RPUOMLNKOHOFFCE88CB,坡道平面,1150000,40.96
RPWOMLNKOHOFFCE09CB,坡道平面,1100000,42.21
RPOPMLNKOHOFFCE38CB,坡道平面,1100000,39.86
RPVPMLSKOHOFFCE96CB,坡道平面,1150000,40.96
RPORMLSKOHOFFCE09CB,坡道平面,1100000,40.96
RPSRMLSKOHOFFCE86CB,坡道平面,1250000,40.96
RPUNMLTKOHOFFCE76CB,坡道平面,1200000,40.96
RPWNMLTKOHOFFCE96CB,坡道平面,1250000,40.96
RPUOMLTKOHOFFCE86CB,坡道平面,1100000,40.96
RPVOMLTKOHOFFCE96CB,坡道平面,1050000,39.86
RPOPMLKLOHOFFCE18CB,坡道平面,1050000,40.96
RPXOMLKLOHOFFCE98CB,坡道平面,1100000,40.96
RPRPMLKLOHOFFCE48CB,坡道平面,1150000,40.96
RPTPMLLLOHOFFCE78CB,坡道平面,1050000,40.96
RPVPMLLLOHOFFCE98CB,坡道平面,1000000,39.86
RPRQMLLLOHOFFCE68CB,坡道平面,1050000,40.96
RPOQMLLLOHOFFCE38CB,坡道平面,1200000,40.96
RPTQMLLLOHOFFCE88CB,坡道平面,1050000,39.86
RPQQMLLLOHOFFCE58CB,坡道平面,1050000,40.96
RPWQMLLLOHOFFCE56CB,坡道平面,1050000,39.86
RPXQMLLLOHOFFCE66CB,坡道平面,1100000,40.96
RPUQMLLLOHOFFCE98CB,坡道平面,1050000,40.96
RPORMLLLOHOFFCE48CB,坡道平面,1100000,40.96
RPPRMLLLOHOFFCE58CB,坡道平面,1050000,39.86
RPWNMLOLOHOFFCE56CB,坡道平面,1100000,40.96
RPUNMLOLOHOFFCE98CB,坡道平面,1050000,40.96
RPXOMLOLOHOFFCE76CB,坡道平面,1100000,40.96
RPXNMLOLOHOFFCE66CB,坡道平面,1100000,40.96
RPRNMLOLOHOFFCE68CB,坡道平面,1050000,40.96
RPPQMLPLOHOFFCE88CB,坡道平面,1150000,40.96
RPRQMLPLOHOFFCE09CB,坡道平面,1050000,40.96
RPXPMLPLOHOFFCE96CB,坡道平面,1150000,40.96
RPORMLPLOHOFFCE88CB,坡道平面,1000000,39.86
RPRRMLPLOHOFFCE56CB,坡道平面,1050000,42.21
RPQQMLPLOHOFFCE98CB,坡道平面,1200000,40.96
RPTQMLPLOHOFFCE66CB,坡道平面,1050000,40.96
RPTRMLPLOHOFFCE76CB,坡道平面,1250000,40.96
RPURMLPLOHOFFCE86CB,坡道平面,1200000,40.96
RPVRMLPLOHOFFCE96CB,坡道平面,1250000,40.96
RPTSMLPLOHOFFCE86CB,坡道平面,1150000,42.21
RPUSMLPLOHOFFCE96CB,坡道平面,1000000,39.86
RPWSMLPLOHOFFCE17CB,坡道平面,1250000,40.96
RPVSMLPLOHOFFCE07CB,坡道平面,1250000,40.96
RPWNMLQLOHOFFCE76CB,坡道平面,1000000,39.86
