編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLRKNHOFFAG78CA,南昌段,23.17,都市：住
RPQNMLPKNHOFFAG38CA,叭哩沙段,1271.75,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOKNHOFFBG48CA,大福一段,139.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKNHOFFBG48CA,大福一段,20.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOKNHOFFBG78CA,金六結段金結小段,12.00,都市：住
RPUNMLOKNHOFFBG78CA,金六結段金結小段,12.10,都市：住
RPSNMLLLNHOFFAG28CA,義成五段,126.60,都市：商
RPSNMLLLNHOFFAG28CA,義成五段,23.78,都市：商
RPQNMLRKNHOFFAG58CA,蘇新段,100.62,都市：住
RPQPMLOKNHOFFBG58CA,吉祥二段,39.93,都市：住
RPXOMLOKNHOFFBG56CA,烏石港段,123.90,都市：住
RPQOMLOKNHOFFBG48CA,五峰段,21.09,都市：住
RPVNMLPKNHOFFBG98CA,新南段,1992.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLPKNHOFFBG58CA,金六結段七結小段,12.32,都市：商
RPQOMLPKNHOFFBG58CA,金六結段七結小段,.02,都市：商
RPPOMLOJOHOFFAG28CA,田心段,1140.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLPJOHOFFAG98CA,東和段,1376.38,都市：工
RPVOMLNLNHOFFAG88CA,中華段,4.14,都市：商
RPVOMLNLNHOFFAG88CA,中華段,4.25,都市：商
RPPNMLPJOHOFFAG28CA,信義段,28.82,都市：商
RPPNMLPJOHOFFAG28CA,信義段,1.37,都市：商
RPPNMLOKNHOFFAG18CA,北成段,39.50,都市：住
RPUNMLRKNHOFFBG09CA,進士一段,3163.46,都市：農
RPPOMLRKNHOFFBG68CA,協天段,12.03,都市：住
RPSOMLSLNHOFFBG56CA,雙福段,72.27,都市：工
RPSOMLSLNHOFFBG56CA,雙福段,396.01,都市：工
RPXNMLQKNHOFFBG66CA,金六結二段,21.69,都市：住
RPQNMLPKNHOFFBG68EA,復興段,1175.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLQKNHOFFBG09CA,雙福段,22.89,都市：住
RPUOMLQKNHOFFBG09CA,雙福段,95.37,都市：住
RPUOMLQKNHOFFBG09CA,雙福段,9.51,都市：住
