編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLKNHOFFBH78CC,,112.37,見其他登記事項,鋼筋混凝土造,107年12月10日,五層,
RPUOMLNKNHOFFFH86CC,11,306.50,見其他登記事項,鋼筋混凝土造,96年12月15日,二層,
RPXOMLNKNHOFFFH27DC,3,137.90,見其他登記事項,鋼筋混凝土造,105年9月1日,二十三層,
RPXOMLNKNHOFFFH27DC,3,48.16,見其他登記事項,鋼筋混凝土造,105年9月1日,二十三層,
RPXOMLNKNHOFFFH27DC,3,45.77,見其他登記事項,鋼筋混凝土造,105年9月1日,二十三層,
RPQQMLNKNHOFFDH09CC,,63.69,見其他登記事項,鋼筋混凝土造,108年3月7日,十五層,
RPQQMLNKNHOFFDH09CC,,13.28,見其他登記事項,鋼筋混凝土造,108年3月7日,十五層,
RPQQMLNKNHOFFDH09CC,,37.43,見其他登記事項,鋼筋混凝土造,108年3月7日,十五層,
RPWQMLNKNHOFFDH17DC,26,63.90,見其他登記事項,鋼筋混凝土造,82年8月17日,八層,
RPWQMLNKNHOFFDH17DC,26,16.57,共同使用部份,鋼筋混凝土造,82年8月17日,八層,
RPPQMLNKNHOFFDH98CC,4,63.56,住家用,鋼筋混凝土造,104年5月25日,十五層,
RPPQMLNKNHOFFDH98CC,4,29.81,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPTNMLNKNHOFFEH66DC,22,45.16,住家用,鋼筋混凝土造,86年1月22日,二十七層,
RPTNMLNKNHOFFEH66DC,22,2.34,住家用,鋼筋混凝土造,86年1月22日,二十七層,
RPTNMLNKNHOFFEH66DC,22,19.84,住家用,鋼筋混凝土造,86年1月22日,二十七層,
RPPNMLLKNHOFFEH58CC,30,23.14,住家用,鋼筋混凝土造,78年8月17日,三層,
RPWNMLNKNHOFFAH56DC,31,190.97,見其他登記事項,鋼筋混凝土造,77年7月15日,二層,
RPOTMLNKNHOFFAH88CC,24,197.57,見其他登記事項,鋼筋混凝土造,83年11月14日,四層,
RPVUMLNKNHOFFAH07CC,21,215.53,見其他登記事項,鋼筋混凝土造,86年11月28日,二十五層,
RPTTMLNKNHOFFAH76CC,20,24.07,住家用,鋼筋混凝土造,88年9月2日,十二層,
RPTTMLNKNHOFFAH76CC,20,8.84,共有部份,鋼筋混凝土造,88年9月2日,十二層,
RPTTMLNKNHOFFAH76CC,20,1.91,共有部份,鋼筋混凝土造,88年9月2日,十二層,
RPRPMLNKNHOFFBH88CC,30,110.02,住家用,鋼筋混凝土造,78年6月13日,五層,
