鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路二段301~330號,213.0,商,,,1080501,土地1建物2車位0,全,4,透天厝,住商用,鋼筋混凝土加強磚造,0651113,702.47,0,2,1,有,無,無,40000,57,,0.0,0,,RPPNMLRLNHOFFBM86CC
南投市,房地(土地+建物),南投縣南投市南崗三路61~90號,2373.87,工,,,1080509,土地1建物2車位0,見其他登記事項,3,廠辦,見其他登記事項,見其他登記事項,1070625,1683.38,0,0,0,無,無,無,150000,89,,0.0,0,一年租金自中華民國108年6月10日起，至中華民國109年6月9日止，租金為每月新台幣15萬元正含稅；其後租金為每月新台幣18萬元正含稅,RPRNMLKMNHOFFAM98CC
南投市,房地(土地+建物),南投縣南投市彰南路二段541~570號,92.0,住,,,1080531,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,0690701,198.0,4,3,2,有,無,無,15000,76,,0.0,0,,RPTNMLLMNHOFFAM66CC
南投市,房地(土地+建物),南投縣南投市東山路366巷1~30號,806.92,,鄉村區,丁種建築用地,1080603,土地3建物1車位0,見其他登記事項,1,其他,見其他登記事項,見其他登記事項,1080117,605.99,0,0,0,無,無,無,67000,111,,0.0,0,,RPQNMLQJOHOFFAM66CC
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路253之25巷20弄1~30號,78.73,,鄉村區,乙種建築用地,1080616,土地1建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,0890321,153.0,4,3,3,有,無,無,12000,78,,0.0,0,,RPPNMLSKOHOFFBM96CC
草屯鎮,房地(土地+建物),南投縣草屯鎮民生二街31~60號,12.03,住,,,1080618,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830411,79.69,2,2,1,有,無,有,8800,110,,0.0,0,,RPQNMLOLOHOFFBM76CC
南投市,房地(土地+建物),南投縣南投市仁德路256巷1~30號,159.56,住,,,1080526,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0841002,189.89,4,3,3,有,無,無,15000,79,,0.0,0,,RPVNMLPLOHOFFAM27CC
南投市,土地,牛運堀段91~120地號,169.33,住,,,1080626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,47,,0.0,0,有民情風俗因素之交易。;,RPQNMLQLOHOFFAM86CC
草屯鎮,房地(土地+建物),南投縣草屯鎮中山街211~240號,107.0,商,,,1080627,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,0950123,84.42,4,1,2,有,無,無,7000,83,,0.0,0,,RPQPMLSLOHOFFBM37CC
埔里鎮,房地(土地+建物),南投縣埔里鎮中山路二段121~150號,137.03,住,,,1080701,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0601223,130.88,0,0,0,無,無,無,19000,145,,0.0,0,,RPPNMLLJPHOFFCM98CC
草屯鎮,土地,草屯段151~180地號,1729.0,住,,,1080704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,100000,58,,0.0,0,,RPPNMLPJPHOFFBM66CC
南投市,建物,南投縣南投市彰南路三段1261~1290號,245.08,住,,,1080704,土地0建物1車位0,二層,2,店面(店鋪),住商用,鋼骨鋼筋混凝土造,0890706,255.0,0,0,0,無,無,無,24000,94,,0.0,0,,RPRNMLPJPHOFFAM76CC
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路二段391~420號,21.81,,鄉村區,乙種建築用地,1080712,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071127,120.97,2,2,1,有,無,有,16000,132,,0.0,0,,RPSNMLPKPHOFFBM07CC
埔里鎮,土地,和平段931~960地號,483.18,住,,,1080701,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,42000,87,,0.0,0,有民情風俗因素之交易。;,RPROMLQKPHOFFCM27CC
草屯鎮,建物,南投縣草屯鎮中正路721~750號,97.0,其他,,,1080719,土地0建物1車位0,,4,店面(店鋪),住商用,鋼筋混凝土造,0680507,68.26,0,1,1,有,無,無,24000,352,,0.0,0,,RPVOMLOLPHOFFBM57DC
南投市,建物,南投縣南投市彰南路二段1~30號,288.0,商,,,1080711,土地0建物1車位0,全,6,透天厝,見其他登記事項,鋼筋混凝土造,0751006,935.35,31,0,31,有,無,有,186000,199,,0.0,0,,RPPNMLLJQHOFFAM88CC
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路721~750號,176.0,住,,,1080805,土地2建物1車位0,三層,4,店面(店鋪),見其他登記事項,鋼筋混凝土加強磚造,0640423,491.88,0,3,2,有,無,無,55000,112,,0.0,0,,RPVNMLPJQHOFFBM37CC
南投市,房地(土地+建物),南投縣南投市力行一街1~30號,91.18,住,,,1080801,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830627,149.8,4,2,3,有,無,無,13000,87,,0.0,0,,RPWNMLQJQHOFFAM47CC
