編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLOKNHOFFAT57CA,勝興段,2040.00,都市：住
RPWNMLOKNHOFFAT57CA,勝興段,223.00,都市：其他
RPWNMLOKNHOFFAT57CA,勝興段,688.00,都市：住
RPTNMLOKNHOFFAT27CA,勝興段,4.44,都市：住
RPRNMLOKNHOFFAT07CA,和興段,78.66,都市：住
RPXNMLNKNHOFFAT57CA,大坵段,50.85,非都市：一般農業區 ; 非都市編定：農牧用地
RPUOMLOKNHOFFAT47CA,瑞光段,77.00,都市：住
RPTOMLOKNHOFFAT37CA,洛陽段,72.00,都市：住
RPSNMLPKNHOFFAT27CA,溝美段一小段,123.00,都市：住
RPXOMLOKNHOFFAT77CA,萬生段,23.00,都市：住
RPXOMLOKNHOFFAT77CA,萬生段,16.08,都市：住
RPXOMLOKNHOFFAT77CA,萬生段,78.00,都市：住
RPUOMLPKNHOFFAT57CA,萬年段,64.00,都市：住
RPRPMLPKNHOFFAT37CA,檳榔腳段二小段,82.00,都市：住
RPQNMLQKNHOFFAT17CA,九如段,3723.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQNMLQKNHOFFAT17CA,九如段,2633.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQNMLQKNHOFFAT17CA,九如段,2679.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPUNMLLLNHOFFAT17CA,水源段二小段,88.00,都市：住
RPROMLNLNHOFFAT17CA,明正段,4.37,都市：住
RPQNMLKLNHOFFAT66CA,勝興段,43.58,都市：住
RPRNMLKLNHOFFAT76CA,勝興段,43.58,都市：住
RPQOMLMLNHOFFAT96CA,勝興段,17.00,都市：住
RPTNMLKLNHOFFAT96CA,勝興段,40.59,都市：住
RPOPMLRKNHOFFAT27CA,新全段,103.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLPLNHOFFAT27CA,新安段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLPKNHOFFAT47CA,新安段,17.88,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLPKNHOFFAT47CA,新安段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
