編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSSMLMKQHOFFAB78CC,23,90.22,見其他登記事項,鋼筋混凝土造,85年3月28日,十四層,
RPSSMLMKQHOFFAB78CC,23,23.38,見其他登記事項,鋼筋混凝土造,85年3月28日,十四層,
RPSSMLMKQHOFFAB78CC,23,19.56,見其他登記事項,鋼筋混凝土造,85年3月28日,十四層,
RPWRMLMKQHOFFAB09CC,13,66.04,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWRMLMKQHOFFAB09CC,13,13.93,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWRMLMKQHOFFAB09CC,13,9.88,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPTOMLMKQHOFFCB78DC,46,73.80,住家用,見其他登記事項,62年6月1日,二層,
RPWSMLMKQHOFFAB56CC,1,83.57,見其他登記事項,鋼筋混凝土造,107年10月14日,十二層,
RPWSMLMKQHOFFAB56CC,1,27.89,見其他登記事項,鋼筋混凝土造,107年10月14日,十二層,
RPWSMLMKQHOFFAB56CC,1,13.18,見其他登記事項,鋼筋混凝土造,107年10月14日,十二層,
RPTOMLMKQHOFFBB58CC,2,16.53,見其他登記事項,鋼筋混凝土造,106年3月17日,四層,
RPUQMLMKQHOFFBB88CC,31,81.15,住家用,鋼筋混凝土造,77年2月12日,五層,
RPUQMLMKQHOFFBB88CC,31,14.11,共有部份,鋼筋混凝土造,77年2月12日,五層,
RPTNMLMKQHOFFCB58CC,9,46.22,住家用,鋼筋混凝土造,99年11月19日,二十四層,
RPTNMLMKQHOFFCB58CC,9,34.85,見其他登記事項,鋼筋混凝土造,99年11月19日,二十四層,
RPSPMLMKQHOFFCB68CC,1,126.20,見其他登記事項,見其他登記事項,107年1月31日,三十五層,
