鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物)+車位,水交社段1~30地號,27.0,住,,,1070509,土地1建物1車位2,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,193.11,3,1,2,有,無,8100000,43344,坡道平面,69.68,2750000,,RPVNMLTLQHOFFCD07CB
南區,房地(土地+建物)+車位,水交社段1~30地號,25.83,住,,,1070606,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.77,3,1,2,有,無,7260000,47515,坡道平面,35.44,1400000,,RPWNMLTLQHOFFCD17CB
南區,房地(土地+建物)+車位,水交社段1~30地號,25.83,住,,,1070221,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.67,3,1,2,有,無,7140000,48569,坡道平面,34.34,1150000,,RPXNMLTLQHOFFCD27CB
南區,房地(土地+建物)+車位,水交社段1~30地號,25.83,住,,,1070709,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.77,3,1,2,有,無,7600000,50272,坡道平面,35.44,1400000,,RPOOMLTLQHOFFCD09CB
南區,房地(土地+建物)+車位,水交社段1~30地號,25.83,住,,,1080413,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.77,3,1,2,有,無,7800000,51893,坡道平面,35.44,1400000,,RPPOMLTLQHOFFCD56CB
南區,房地(土地+建物)+車位,水交社段1~30地號,25.83,住,,,1070316,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.77,3,1,2,有,無,7430000,50515,坡道平面,35.44,1200000,,RPSOMLTLQHOFFCD86CB
南區,房地(土地+建物)+車位,水交社段1~30地號,29.35,住,,,1070402,土地1建物1車位2,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,203.08,3,1,2,有,無,8300000,44629,坡道平面,70.88,2400000,,RPTOMLTLQHOFFCD96CB
南區,房地(土地+建物)+車位,水交社段1~30地號,28.18,住,,,1070130,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,167.64,3,1,2,有,無,7390000,46823,坡道平面,35.44,1200000,,RPUOMLTLQHOFFCD07CB
南區,房地(土地+建物)+車位,水交社段1~30地號,29.35,住,,,1070129,土地1建物1車位2,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,203.08,3,1,2,有,無,8280000,42965,坡道平面,70.88,2600000,,RPVOMLTLQHOFFCD17CB
南區,房地(土地+建物)+車位,水交社段1~30地號,28.18,住,,,1070302,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,167.64,3,1,2,有,無,7680000,48260,坡道平面,35.44,1300000,,RPWOMLTLQHOFFCD27CB
