鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區大義街91~120號,5.97,商,,,1080715,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070329,73.91,2,1,1,有,有,有,20500,277,,0.0,0,,RPPNMLMKQHOFFAE28CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1771~1800號,16.62,商,,,1080807,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,236.35000000000002,3,2,2,有,有,有,55000,233,坡道平面,17.97,0,,RPRNMLMKQHOFFAE48CC
前金區,房地(土地+建物),高雄市前金區大同一路271~300號,5.71,商,,,1080805,土地1建物1車位0,十五層,28,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,90.09,2,2,1,有,有,有,17000,189,,0.0,0,,RPSNMLMKQHOFFAE58CC
鼓山區,房地(土地+建物),高雄市鼓山區明倫路151~180號,8.09,商,,,1080808,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960131,103.68,2,1,1,有,無,有,18000,174,,0.0,0,,RPXNMLMKQHOFFAE09CC
新興區,房地(土地+建物),高雄市新興區復興一路31~60號,4.74,商,,,1080713,土地1建物1車位0,七層,12,套房(1房1廳1衛),,鋼筋混凝土造,0720505,45.38,1,1,1,有,有,有,8000,176,,0.0,0,,RPOOMLMKQHOFFBE38CC
苓雅區,房地(土地+建物),高雄市苓雅區和平二路361~390號,106.0,住,,,1080810,土地2建物1車位0,全,4,透天厝,,鋼筋混凝土造,0660524,266.28,4,3,3,有,無,有,45000,169,,0.0,0,,RPROMLMKQHOFFBE68CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1080723,土地0建物1車位0,八層,12,辦公商業大樓,,鋼筋混凝土造,0781109,91.07,0,0,0,無,有,無,14000,154,,0.0,0,親友、員工或其他特殊關係間之交易。;8樓為整層屋主自行隔間出租,RPSOMLMKQHOFFBE78CC
三民區,房地(土地+建物),高雄市三民區建工路571~600號,86.0,商,,,1080810,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0670926,311.43,0,0,0,無,無,無,40000,128,,0.0,0,,RPOPMLMKQHOFFDE68CC
三民區,建物,高雄市三民區九如一路565巷1~30號,0.0,商,,,1080723,土地0建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831114,142.74,3,2,2,有,有,有,16000,112,坡道機械,0.0,0,,RPSPMLMKQHOFFDE09CC
