編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMLQHOFFBG66CC,14,23.10,住家用,鋼筋混凝土造,94年10月11日,六層,
RPRNMLNKQHOFFAG78CC,2,48.02,見其他登記事項,鋼筋混凝土造,106年11月24日,四層,
RPWNMLNLQHOFFAG76CC,5,41.00,住家用,鋼筋混凝土造,103年4月2日,三層,
RPOOMLMLQHOFFBG68CC,21,132.23,住家用,鋼筋混凝土造,88年2月12日,五層,
RPTNMLOKQHOFFBG56CC,25,22.11,住家用,鋼筋混凝土造,83年8月11日,十層,
RPSOMLMLQHOFFBG09CC,27,202.97,住家用,鋼筋混凝土造,82年2月1日,四層,
RPOOMLKLQHOFFBG48CC,51,227.33,住家用,鋼筋混凝土加強磚造,57年6月22日,三層,
RPRNMLNLQHOFFAG88CC,45,317.41,工業用,磚造,63年6月14日,一層,
RPSNMLOKQHOFFBG09CC,25,22.11,住家用,鋼筋混凝土造,83年8月11日,十層,
RPVNMLLLQHOFFBG56CC,28,21.85,見其他登記事項,鋼筋混凝土造,80年8月22日,六層,
RPPNMLNLQHOFFAG88EC,4,200.20,住家用,見其他登記事項,104年11月30日,三層,
RPOOMLKMQHOFFAG48CC,25,60.29,住家用,鋼筋混凝土造,83年12月27日,六層,
RPWNMLSLQHOFFBG37CC,,99.12,住家用,鋼筋混凝土加強磚造,,二層,
RPRNMLKMQHOFFBG78CC,35,99.00,住家用,加強磚造,73年11月19日,二層,
RPPNMLRLQHOFFBG56CC,25,22.11,住家用,鋼筋混凝土造,83年8月11日,十層,
RPVNMLTLQHOFFBG57EC,3,202.88,見其他登記事項,鋼筋混凝土造,105年4月14日,三層,
RPUNMLKKRHOFFAG09EC,,265.44,住家用,鋼筋混凝土造,,四層,
RPOQMLLKRHOFFBG78CC,26,319.09,住家用,鋼筋混凝土造,82年11月25日,三層,
RPTNMLQLQHOFFAG76CC,32,90.11,住家用,鋼筋混凝土造,76年11月3日,五層,
RPUNMLQLQHOFFAG86CC,5,37.78,住家用,鋼筋混凝土造,103年4月2日,三層,
RPVNMLQLQHOFFAG96CC,10,419.57,見其他登記事項,鋼筋混凝土造,98年5月25日,四層,
RPXNMLQLQHOFFAG37EC,42,185.73,住家用,鋼筋混凝土加強磚造,66年12月29日,三層,
RPRNMLQKRHOFFAG76EC,48,164.98,住家用,鋼筋混凝土加強磚造,60年12月2日,三層,
RPRNMLNLRHOFFAG98CC,25,70.59,住家用,鋼筋混凝土造,83年5月28日,七層,
RPSNMLTKRHOFFBG07CC,25,51.07,商業用,鋼筋混凝土造,83年8月11日,十層,
RPSNMLSKRHOFFBG17EC,49,96.50,住家用,鋼筋混凝土加強磚造,59年4月1日,二層,
RPVNMLKLRHOFFAG09CC,18,81.86,住家用,鋼筋混凝土造,90年6月14日,六層,
RPXNMLNLRHOFFAG96CC,34,62.21,住商用,鋼筋混凝土造,74年11月15日,四層,
RPQNMLRLRHOFFAG66CC,42,20.12,住商用,鋼筋混凝土加強磚造,66年6月14日,三層,
RPXNMLRLRHOFFBG47CC,14,63.39,住商用,鋼筋混凝土造,94年9月27日,四層,
RPXNMLQLRHOFFBG37CC,9,66.55,見其他登記事項,鋼筋混凝土造,99年9月15日,三層,
RPTNMLNLRHOFFAG76EC,25,127.32,住商用,鋼筋混凝土造,84年2月24日,五層,
RPQNMLPLRHOFFAG09CC,5,41.00,住家用,鋼筋混凝土造,103年4月2日,三層,
RPOOMLNJIIOFFBG08EC,14,16.02,住家用,鋼筋混凝土造,94年9月14日,六層,
RPXNMLOJIIOFFBG78CC,39,1795.08,見其他登記事項,見其他登記事項,69年6月9日,一層,
RPPOMLOLIIOFFAG18CC,14,31.35,住家用,鋼筋混凝土造,95年1月17日,六層,
RPUOMLRJIIOFFAG78CC,23,78.26,住家用,鋼筋混凝土造,85年11月9日,十三層,
RPTNMLPJIIOFFAG38CC,24,28.69,住家用,鋼筋混凝土造,84年6月15日,六層,
RPTOMLMLIIOFFBG68EC,8,227.59,見其他登記事項,鋼筋混凝土造,100年8月5日,三層,
RPPNMLPLIIOFFBG28CC,3,192.11,見其他登記事項,鋼筋混凝土造,105年6月15日,三層,
RPXOMLRJIIOFFAG09CC,33,70.00,住商用,鋼筋混凝土造,75年7月7日,四層,
RPQOMLOJIIOFFBG18CC,23,2740.37,見其他登記事項,鋼筋混凝土造,85年12月20日,十六層,
RPXNMLSKIIOFFAG56CC,26,175.43,住家用,鋼筋混凝土造,82年10月19日,五層,
