鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新城鄉,土地,草林段181~210地號,8303.45,農,,,1080618,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30100033,3625,,0.0,0,,RPPOMLMKQHOFFAU17CA
秀林鄉,房地(土地+建物),花蓮縣秀林鄉加灣151~180號,498.27,,鄉村區,乙種建築用地,1080711,土地1建物1車位0,全,一層,透天厝,見其他登記事項,鋼筋混凝土造,0840912,134.95,4,2,1,有,無,4600000,34087,,0.0,0,,RPSOMLMKQHOFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路174巷1~30號,76.0,住,,,1080805,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0761008,90.16,3,2,2,有,無,8680000,96273,,0.0,0,,RPQNMLNKQHOFFAU27CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛一街31~60號,16.57,住,,,1080627,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821029,64.91,2,1,1,有,有,3150000,48529,,0.0,0,含增建或未登記建物。;,RPSNMLOKQHOFFAU57CA
新城鄉,房地(土地+建物),花蓮縣新城鄉大德街370巷31~60號,109.9,,鄉村區,乙種建築用地,1080517,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0751111,79.29,3,2,2,有,無,4100000,51709,,0.0,0,含增建或未登記建物。;,RPPOMLOKQHOFFAU37CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路七段85巷1~30號,331.67,,鄉村區,乙種建築用地,1080512,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000809,287.67,7,3,6,有,無,12880000,44774,,0.0,0,,RPVOMLOKQHOFFAU97CA
玉里鎮,土地,玉璞段3331~3360地號,371.0,住,,,1080701,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,32345,,0.0,0,,RPVNMLNKQHOFFCU97CA
玉里鎮,土地,樂合段2521~2550地號,1125.0,,森林區,農牧用地,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,178,,0.0,0,經調解會成立買賣價金,RPSNMLNKQHOFFCU67CA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮中華路31~60號,316.0,商,,,1080729,土地1建物1車位0,全,一層,透天厝,住家用,木造,,125.62,2,2,1,有,無,9000000,71645,,0.0,0,,RPTNMLKLQHOFFCU57CA
瑞穗鄉,土地,源北段1141~1170地號,1143.37,,特定農業區,農牧用地,1080709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,486000,425,,0.0,0,,RPPNMLQJRHOFFCU67CA
