編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTNMLPJKHPFFAF28CA,坡道平面,1950000,36.45
RPVNMLPJKHPFFAF48CA,坡道平面,1850000,36.45
RPOOMLPJKHPFFAF87CA,坡道平面,1460000,31.97
RPWRMLNJKHPFFAF78CA,坡道平面,2500000,35.42
RPWRMLNJKHPFFAF78CA,坡道平面,2500000,35.42
RPRNMLPJKHPFFAF08CA,坡道平面,0,36.45
RPRNMLPJKHPFFAF08CA,坡道平面,0,36.45
RPSNMLPJKHPFFAF18CA,坡道平面,1650000,36.45
RPPSMLNJKHPFFAF18CA,坡道平面,0,38.68
RPROMLRLKHPFFAF58CA,坡道平面,2100000,33.06
RPRNMLOJKHPFFAF97CA,坡道平面,0,26.43
RPQRMLLLKHPFFAF18CA,坡道平面,1650000,31.41
RPPRMLLLKHPFFAF08CA,坡道平面,1650000,31.41
RPWTMLNJKHPFFBF09CA,坡道平面,2300000,40.69
RPPNMLOJKHPFFBF87CA,坡道平面,1190000,31.50
RPQOMLOJKHPFFBF08CA,坡道機械,1000000,19.89
RPQOMLOJKHPFFBF08CA,坡道機械,1000000,19.89
RPORMLOJKHPFFBF18CA,坡道平面,0,27.87
RPOQMLOJKHPFFBF08CA,坡道平面,0,39.18
RPPRMLOJKHPFFBF28CA,坡道平面,0,30.37
RPSTMLPJKHPFFBF88CA,坡道平面,0,42.83
RPOOMLPJKHPFFBF97CA,坡道平面,0,57.33
RPOUMLPJKHPFFBF58CA,升降機械,0,12.99
RPUNMLQJKHPFFBF58CA,坡道平面,0,37.25
RPWNMLLKKHPFFBF38CA,坡道平面,1500000,27.79
RPPNMLNLKHPFFBF97CA,坡道平面,2250000,36.80
RPTPMLLLKHPFFBF38CA,坡道平面,1950000,36.80
RPWOMLQLKHPFFBF09CA,坡道平面,2200000,42.84
RPQPMLQLKHPFFBF58CA,坡道平面,2200000,42.84
RPWNMLPJKHPFFCF78CA,坡道平面,2443993,40.79
RPXOMLNKKHPFFCF88CA,坡道平面,0,31.77
RPQOMLRKKHPFFCF58CA,坡道平面,0,36.25
RPOOMLOLKHPFFDF28CA,坡道平面,950000,39.46
RPXNMLRLKHPFFDF76CA,坡道平面,1350000,39.49
RPSNMLOKKHPFFDF48CA,坡道平面,0,35.58
RPQNMLOKKHPFFDF28CA,坡道平面,0,29.70
RPXNMLPLKHPFFDF56CA,坡道機械,0,24.63
RPPOMLPJKHPFFEF38CA,坡道平面,1300000,25.02
RPWPMLNJKHPFFEF98CA,坡道平面,1300000,47.62
RPXNMLNJKHPFFEF88CA,坡道平面,1300000,47.62
RPQNMLKKKHPFFEF97CA,坡道平面,0,30.43
RPQNMLQJKHPFFEF48CA,坡道平面,1550000,33.17
RPVOMLOJKHPFFEF88CA,坡道機械,0,23.02
RPPPMLPKKHPFFEF58CA,坡道機械,0,12.56
RPPPMLPKKHPFFEF58CA,坡道機械,0,12.56
RPVNMLQJLHPFFEF09CA,坡道平面,1270000,20.21
RPWPMLRKKHPFFEF86CA,坡道機械,800000,16.39
RPWPMLRKKHPFFEF86CA,坡道機械,800000,16.39
RPRPMLPJKHPFFHF98CA,坡道機械,0,31.64
RPQPMLOJKHPFFHF78CA,坡道平面,0,17.51
RPQOMLPJKHPFFHF78CA,坡道平面,0,
RPSPMLRKKHPFFGF66CA,坡道平面,0,32.27
RPQNMLPLKHPFFGF78CA,坡道平面,0,36.25
RPWOMLRJKHPFFHF96CA,坡道平面,0,35.50
