編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLJKHPFFHF48CC,健康段,.00,都市：工
RPPNMLLJKHPFFHF38CC,中原段,.00,都市：工
RPOOMLNJKHPFFDF18CC,環河段,116.06,都市：工
RPWNMLNJKHPFFDF88CC,同新段,21.80,都市：工
RPWNMLNJKHPFFDF88CC,同新段,.01,都市：其他
RPWNMLNJKHPFFDF88CC,同新段,.00,都市：其他
RPXNMLNJKHPFFDF98CC,智興段,.00,都市：住
RPXNMLNJKHPFFDF98CC,智興段,.00,都市：住
RPPNMLMJKHPFFEF18CC,海天段,25.32,都市：住
RPXPMLNJKHPFFEF66CC,大義段,1.85,都市：住
RPWNMLNJKHPFFEF98CC,正德段,.00,都市：住
RPQNMLMJKHPFFEF28CC,海天段,31.45,都市：住
RPQNMLMJKHPFFEF28CC,海天段,2.37,都市：住
RPQNMLMJKHPFFEF28CC,海天段,.17,都市：住
RPQNMLMJKHPFFEF28CC,海天段,.01,都市：住
RPQNMLMJKHPFFEF28CC,海天段,.00,都市：住
RPPOMLNJKHPFFDF28CC,同新段,119.95,都市：工
RPUPMLNJKHPFFDF88CC,福德段,.00,都市：住
RPQOMLNJKHPFFHF78CC,復興段,.00,都市：其他
RPQOMLNJKHPFFHF78CC,復興段,.00,都市：住
RPSOMLNJKHPFFHF98CC,板南段,.00,都市：工
RPUOMLNJKHPFFHF56CC,板南段,.00,都市：工
RPPPMLNJKHPFFHF78CC,安邦段,.00,都市：工
RPRPMLNJKHPFFBF38CC,思源段,.00,都市：住
RPRPMLNJKHPFFBF38CC,思源段,.00,都市：住
RPRPMLNJKHPFFBF38CC,思源段,.00,都市：住
RPRPMLNJKHPFFBF38CC,思源段,.00,都市：住
RPPQMLNJKHPFFHF88CC,中興段,.00,都市：住
RPQQMLNJKHPFFBF38CC,自立段,24.73,都市：商
RPTPMLNJKHPFFBF58CC,自立段,20.51,都市：商
RPPTMLNJKHPFFBF58CC,五工段,750.01,非都市：工業區 ; 非都市編定：丁種建築用地
RPXPMLNJKHPFFBF98CC,全安段,82.57,都市：住
RPPQMLNJKHPFFBF28CC,和平段,8.46,都市：住
RPWOMLNJKHPFFDF56EC,保長段,12.60,都市：住
RPUQMLNJKHPFFBF78CC,副都心段一小段,34.16,都市：商
RPVSMLNJKHPFFBF09CC,民安段,.00,都市：住
RPUNMLNJKHPFFIF56CC,樹德段,.00,都市：住
RPUOMLNJKHPFFGF09CC,忠孝段,.00,都市：住
RPQPMLNJKHPFFEF78EC,水仙段,102.97,都市：住
RPRNMLOJKHPFFIF98CC,大學段一小段,.00,都市：住
RPXOMLNJKHPFFEF76EC,海天段,11.89,都市：住
RPWPMLOJKHPFFIF07CC,博愛段,.00,都市：商
RPOPMLOJKHPFFIF88CC,大學段一小段,.00,都市：住
RPWOMLNJKHPFFEF66EC,馬偕段,70.18,都市：住
RPQNMLOJKHPFFBF18CC,國宅段,22.75,都市：住
RPQQMLNJKHPFFEF68CC,公司田段,.00,都市：住
RPSOMLOJKHPFFBF48CC,國宅段,.00,都市：住
RPUOMLOJKHPFFBF68CC,f9da安段,.00,都市：住
RPUOMLOJKHPFFBF68CC,f9da安段,.00,都市：其他
RPUOMLNJKHPFFCF68CC,寶元段,140.45,都市：工
RPUOMLNJKHPFFCF68CC,寶元段,.27,都市：其他
RPSPMLOJKHPFFBF58CC,成泰段,.00,都市：工
