鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.14,住,,,1071127,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.93,4,2,2,有,無,8000000,38534,坡道平面,31.76,1250000,,RPSNMLNJKHPFFDH58CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070525,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.23,4,2,2,有,無,8200000,39893,坡道平面,31.76,1200000,,RPTNMLNJKHPFFDH68CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1080306,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7600000,35904,坡道平面,32.85,1300000,,RPUNMLNJKHPFFDH78CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070605,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7780000,37214,坡道平面,32.85,1250000,,RPVNMLNJKHPFFDH88CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070327,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7650000,36473,坡道平面,32.85,1250000,,RPWNMLNJKHPFFDH98CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070626,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,8050000,38753,坡道平面,32.85,1250000,,RPOOMLNJKHPFFDH28CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070719,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7880000,37499,坡道平面,32.85,1300000,,RPPOMLNJKHPFFDH38CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070410,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.17,4,2,2,有,無,8750000,35049,坡道平面,65.7,2600000,,RPQOMLNJKHPFFDH48CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1080731,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7560000,35676,坡道平面,32.85,1300000,,RPWOMLNJKHPFFDH09CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070926,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,8320000,40292,坡道平面,32.85,1250000,,RPOPMLNJKHPFFDH38CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070529,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7480000,35505,坡道平面,32.85,1250000,,RPPPMLNJKHPFFDH48CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,38.84,住,,,1070730,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.32,4,2,2,有,無,7500000,35334,坡道平面,32.85,1300000,,RPQPMLNJKHPFFDH58CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070719,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3750000,38664,,0.0,0,,RPVPMLNJKHPFFDH09CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1071218,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3860000,39798,,0.0,0,,RPWPMLNJKHPFFDH56CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,21.42,住,,,1070306,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.75,2,1,1,有,無,4430000,33302,坡道平面,31.76,1200000,,RPOQMLNJKHPFFDH48CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070320,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3350000,34540,,0.0,0,,RPPQMLNJKHPFFDH58CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,21.42,住,,,1080717,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.84,2,1,1,有,無,5010000,39798,坡道平面,32.85,1150000,,RPQQMLNJKHPFFDH68CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070719,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3790000,39076,,0.0,0,,RPRQMLNJKHPFFDH78CB
楊梅區,房地(土地+建物)+車位,長岡嶺段451~480地號,21.42,住,,,1070320,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.75,2,1,1,有,無,4670000,35777,坡道平面,31.76,1200000,,RPSQMLNJKHPFFDH88CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1080512,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,4100000,42272,,0.0,0,,RPTQMLNJKHPFFDH98CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1071114,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3600000,37117,,0.0,0,,RPUQMLNJKHPFFDH09CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070525,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3230000,33302,,0.0,0,,RPVQMLNJKHPFFDH56CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070724,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3600000,37117,,0.0,0,,RPWQMLNJKHPFFDH66CB
楊梅區,房地(土地+建物),長岡嶺段451~480地號,21.42,住,,,1070705,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.99,2,1,1,有,無,3380000,34849,,0.0,0,,RPXQMLNJKHPFFDH76CB
