鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東巿,房地(土地+建物),屏東縣屏東市民學路16巷61~90號,39.99,住,,,1081125,土地1建物1車位0,一層，二層，三層，四層，五層，地下層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0710717,1541.67,3,2,2,有,無,2950000,1914,,0.0,0,,RPQNMLOJKHPFFAT66CA
萬丹鄉,土地,新全段61~90地號,2432.0,,特定農業區,農牧用地,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650000,1912,,0.0,0,,RPSOMLOJKHPFFAT96CA
九如鄉,土地,玉泉段151~180地號,2692.39,,一般農業區,農牧用地,1081224,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,3343,,0.0,0,,RPUOMLOJKHPFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市公裕街353巷35弄31~60號,83.0,住,,,1081028,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731224,87.3,4,2,2,有,無,3430000,39290,,0.0,0,,RPPNMLPJKHPFFAT66CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉廣安路151~180號,126.0,,鄉村區,乙種建築用地,1081002,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0811130,175.9,4,2,3,有,無,5200000,29562,,0.0,0,,RPTPMLPJKHPFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東市安心四橫巷361~390號,74.0,住,,,1081219,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690915,102.2,4,2,4,有,無,6300000,61644,,0.0,0,,RPVNMLQJKHPFFAT37CA
萬丹鄉,土地,田厝段1111~1140地號,5264.0,,特定農業區,農牧用地,1080926,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14634000,2780,,0.0,0,,RPWNMLQJKHPFFAT47CA
屏東巿,房地(土地+建物),屏東縣屏東市華正路1~30號,64.0,住,,,1081203,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0820419,184.86,8,2,4,有,無,12600000,68160,,0.0,0,,RPROMLQJKHPFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東市歸禮巷151~180號,280.09,,一般農業區,特定目的事業用地,1081226,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950509,330.71,4,2,3,有,無,8000000,24190,,0.0,0,,RPWOMLQJKHPFFAT57CA
屏東巿,土地,新街段三小段61~90地號,8.6,其他,,,1090106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,398180,46300,,0.0,0,協議價購,RPPOMLKKKHPFFAT98CA
屏東巿,土地,新街段三小段61~90地號,8.6,其他,,,1090106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,398180,46300,,0.0,0,協議價購,RPQOMLKKKHPFFAT09CA
屏東巿,土地,新街段三小段91~120地號,8.6,其他,,,1090106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,398180,46300,,0.0,0,協議價購,RPROMLKKKHPFFAT56CA
屏東巿,土地,新街段三小段61~90地號,8.6,其他,,,1090106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,398180,46300,,0.0,0,協議價購,RPSOMLKKKHPFFAT66CA
屏東巿,土地,新街段三小段91~120地號,46.0,其他,,,1090106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2129800,46300,,0.0,0,協議價購,RPTOMLKKKHPFFAT76CA
屏東巿,房地(土地+建物),屏東縣屏東市民學路120巷31~60號,34.82,住,,,1081230,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710615,76.54,3,2,2,有,無,1600000,20904,,0.0,0,,RPOQMLKKKHPFFAT09CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市機場北路661~690號,22.54,住,,,1081119,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,181.82,3,2,2,有,有,4500000,24750,坡道平面,24.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPQNMLMKKHPFFAT56CA
九如鄉,土地,九和段1261~1290地號,3.19,住,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,25078,,0.0,0,畸零地或有合併使用之交易。;,RPSOMLMKKHPFFAT86CA
屏東巿,房地(土地+建物),屏東縣屏東市武愛街151~180號,107.0,住,,,1090101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080920,216.04,5,2,4,有,無,13600000,62951,,0.0,0,,RPWOMLSKKHPFFAT87CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市華盛街1~30號,42.79,住,,,1081212,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,169.89,3,2,2,有,有,4000000,23545,坡道平面,0.0,0,總價折讓48053元整,RPPOMLPLKHPFFAT96CA
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉長壽路1~30號,67.93,,鄉村區,乙種建築用地,1081219,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0820526,122.03,3,2,3,有,無,3200000,26223,,0.0,0,,RPQNMLOJKHPFFBT76CA
里港鄉,房地(土地+建物),屏東縣里港鄉里港路121~150號,223.54,住,,,1081231,土地2建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0910314,131.45,0,0,0,無,無,10000000,76075,,0.0,0,鋼鐵構造,RPRNMLKKKHPFFBT56CA
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉勝利路301~330號,50.74,住,,,1081006,土地5建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080930,132.9,4,2,2,有,無,4500000,33860,一樓平面,0.0,0,,RPQNMLQJKHPFFCT07CA
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉勝利路301~330號,49.39,住,,,1080825,土地5建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080930,129.79,3,2,2,有,無,4380000,33747,一樓平面,0.0,0,,RPRNMLQJKHPFFCT17CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉昭勝路201巷1~30號,610.91,住,,,1090115,土地3建物1車位0,全,一層,透天厝,住家用,磚造,0540130,123.72,4,2,1,有,無,5175000,41828,,0.0,0,,RPWNMLOJKHPFFCT47CA
內埔鄉,土地,頭鏢段91~120地號,1439.0,,一般農業區,農牧用地,1081227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1042,,0.0,0,包含地上物農作物全部,RPPNMLMKKHPFFCT66CA
新園鄉,土地,五族段271~300地號,82.65,,一般農業區,農牧用地,1090113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,107445,1300,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLOJKHPFFDT27CA
